gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000111846.17_GCNT2	2393.4	8.7	1.700e-103	2.183e-99
ENSG00000198892.6_SHISA4	263.4	6.4	6.679e-51	6.179e-47
ENSG00000134318.14_ROCK2	2353	3.2	9.449e-46	4.045e-42
ENSG00000159228.13_CBR1	866.3	4.1	2.917e-45	1.021e-41
ENSG00000101400.6_SNTA1	220.1	-6.5	3.763e-44	1.411e-40
ENSG00000257267.3_ZNF271P	1597.6	2.9	6.980e-42	1.699e-38
ENSG00000089737.17_DDX24	9071.6	2.7	1.345e-38	2.077e-35
ENSG00000148700.15_ADD3	3421.5	-2.3	1.523e-37	2.029e-34
ENSG00000144591.18_GMPPA	1495.1	-2.6	1.714e-37	2.782e-34
ENSG00000067369.13_TP53BP1	1853.7	-2.5	2.137e-36	2.432e-33
ENSG00000140022.13_STON2	867.8	-5.1	2.083e-36	2.432e-33
ENSG00000106263.18_EIF3B	14007.6	2.2	4.130e-35	3.303e-32
ENSG00000116017.11_ARID3A	5641.6	-3	3.286e-35	3.303e-32
ENSG00000119965.13_C10orf88	961.6	-2.2	3.302e-35	3.303e-32
ENSG00000102910.14_LONP2	2714.9	-2.4	1.124e-33	9.619e-31
ENSG00000178127.13_NDUFV2	3697.6	2.6	8.421e-33	6.397e-30
ENSG00000105559.12_PLEKHA4	538.5	-4.2	9.892e-31	7.472e-28
ENSG00000214293.9_APTR	275.7	2.6	7.918e-31	8.245e-28
ENSG00000170502.13_NUDT9	671.4	3.6	1.618e-30	1.093e-27
ENSG00000145703.16_IQGAP2	5377	-2	3.352e-30	2.037e-27
ENSG00000203485.13_INF2	2046.4	4.5	6.506e-30	3.765e-27
ENSG00000126698.11_DNAJC8	6758	1.6	2.916e-29	1.432e-26
ENSG00000198431.16_TXNRD1	6926	1.3	4.217e-29	1.981e-26
ENSG00000166710.20_B2M	31940.8	2.2	1.176e-28	6.011e-26
ENSG00000186283.14_TOR3A	2369	1.7	1.474e-27	5.006e-25
ENSG00000085265.11_FCN1	130.9	-19.6	2.153e-27	1.656e-24
ENSG00000181690.8_PLAG1	636.5	-3.5	4.854e-27	2.971e-24
ENSG00000169855.20_ROBO1	471.3	-4.8	1.224e-26	4.915e-24
ENSG00000144161.13_ZC3H8	485	2.8	2.681e-26	1.119e-23
ENSG00000141480.18_ARRB2	10231.3	2.3	3.574e-26	1.287e-23
ENSG00000139496.16_NUP58	10583.9	2.9	5.379e-26	2.047e-23
ENSG00000143363.17_PRUNE1	989.8	1.7	4.042e-26	2.088e-23
ENSG00000113580.15_NR3C1	15998.5	2	1.366e-25	4.474e-23
ENSG00000197037.11_ZSCAN25	960	-2.3	1.151e-25	5.596e-23
ENSG00000141556.21_TBCD	3733.1	-2.2	5.057e-25	1.625e-22
ENSG00000154930.15_ACSS1	10812.4	2.1	4.781e-25	1.630e-22
ENSG00000107262.24_BAG1	16948.4	2.5	5.026e-25	1.667e-22
ENSG00000162878.13_PKDCC	807.6	-4.9	4.534e-25	1.972e-22
ENSG00000205683.11_DPF3	860.8	-3	9.849e-25	3.243e-22
ENSG00000110665.11_C11orf21	2462.1	-3.3	2.275e-24	4.731e-22
ENSG00000163625.15_WDFY3	590.8	-3.4	1.378e-24	4.731e-22
ENSG00000139116.18_KIF21A	500.3	6.6	2.165e-24	5.797e-22
ENSG00000184014.8_DENND5A	2968.3	-2.7	5.620e-24	1.412e-21
ENSG00000110107.9_PRPF19	6740.7	1.4	7.353e-24	2.031e-21
ENSG00000150967.18_ABCB9	709	2.9	8.292e-24	2.581e-21
ENSG00000155363.18_MOV10	2604.8	-2.5	2.314e-23	6.460e-21
ENSG00000091542.9_ALKBH5	6803.2	1.4	5.928e-23	1.316e-20
ENSG00000135900.4_MRPL44	1494.7	1.8	4.257e-23	1.316e-20
ENSG00000151208.17_DLG5	1184.8	-4.2	4.311e-23	1.656e-20
ENSG00000153066.12_TXNDC11	1705.4	-1.4	6.449e-23	1.656e-20
ENSG00000241990.5_PRR34-AS1	140.1	5.9	3.526e-23	1.831e-20
ENSG00000157349.16_DDX19B	1101.5	-2.4	1.295e-22	3.027e-20
ENSG00000163312.11_HELQ	810.6	1.3	1.420e-22	3.440e-20
ENSG00000197971.16_MBP	2712.5	2.4	1.451e-22	3.451e-20
ENSG00000169241.19_SLC50A1	1396	2.3	1.033e-22	3.572e-20
ENSG00000177469.13_CAVIN1	1706.1	5.3	1.780e-22	3.863e-20
ENSG00000064201.15_TSPAN32	1504.3	-4	1.752e-22	5.844e-20
ENSG00000130640.13_TUBGCP2	3203.1	-1.6	3.694e-22	7.741e-20
ENSG00000178988.11_MRFAP1L1	3839.1	1.7	5.559e-22	1.145e-19
ENSG00000072864.15_NDE1	3477.8	2.4	6.274e-22	1.176e-19
ENSG00000177674.16_AGTRAP	926.1	4	4.895e-22	1.326e-19
ENSG00000130775.16_THEMIS2	3456.9	2.2	1.297e-21	2.353e-19
