gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000196290.15_NIF3L1	998.9	-3	1.720e-132	6.216e-128
ENSG00000136518.17_ACTL6A	2613.7	-3.1	1.183e-123	1.950e-119
ENSG00000126814.7_TRMT5	1150.6	-2.8	6.931e-105	8.512e-101
ENSG00000143384.13_MCL1	12672.6	3.3	2.296e-102	1.826e-98
ENSG00000184857.8_TMEM186	314.4	-2.4	1.242e-88	6.712e-85
ENSG00000124334.17_IL9R	300.1	-5.9	4.560e-88	1.928e-84
ENSG00000124334.17_PAR_Y_IL9R	300.1	-5.9	4.560e-88	1.928e-84
ENSG00000156232.7_WHAMM	1660.2	3.4	2.125e-85	9.871e-82
ENSG00000087502.18_ERGIC2	1012.5	-2.3	1.194e-82	4.932e-79
ENSG00000109118.14_PHF12	3858.7	2.6	3.515e-79	1.546e-75
ENSG00000269911.1_FAM226B	75.4	6.4	6.594e-77	1.566e-73
ENSG00000165480.16_SKA3	1405.4	-3.7	1.276e-76	3.892e-73
ENSG00000164051.14_CCDC51	474.4	-2.6	2.629e-76	5.930e-73
ENSG00000168496.4_FEN1	6202.2	-2.8	4.678e-74	1.063e-70
ENSG00000163874.11_ZC3H12A	961	5.4	1.544e-73	3.719e-70
ENSG00000197329.12_PELI1	658.3	3	2.284e-73	3.858e-70
ENSG00000087074.8_PPP1R15A	36234	4.6	2.880e-73	5.865e-70
ENSG00000256223.6_ZNF10	315.1	2.4	4.903e-73	6.254e-70
ENSG00000165934.13_CPSF2	5411.8	-2	8.544e-72	1.978e-68
ENSG00000173276.14_ZBTB21	1365	3.8	6.631e-71	1.214e-67
ENSG00000184205.14_TSPYL2	1265.1	4.5	3.687e-70	6.428e-67
ENSG00000100906.10_NFKBIA	11540.8	5.9	5.720e-69	8.275e-66
ENSG00000234290.2_AC116366.2	312.8	7.1	2.730e-68	2.725e-65
ENSG00000010165.20_EEF1AKNMT	3829.1	-2.3	2.138e-68	2.835e-65
ENSG00000230701.2_FBXW4P1	128.2	6.6	1.050e-67	1.204e-64
ENSG00000169184.6_MN1	268	4.1	1.292e-66	1.140e-63
ENSG00000146278.11_PNRC1	12202.4	4.6	2.251e-66	3.465e-63
ENSG00000188785.12_ZNF548	706.9	2.2	7.148e-65	7.487e-62
ENSG00000145386.10_CCNA2	10074.3	-3.9	5.521e-65	8.430e-62
ENSG00000161835.11_GRASP	599.3	7.7	3.242e-64	3.169e-61
ENSG00000119801.13_YPEL5	12050.6	3.6	4.165e-63	5.583e-60
