gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000176658.17_MYO1D	2174.4	2.6	1.129e-51	2.677e-47
ENSG00000170476.16_MZB1	335.1	-8.2	6.683e-51	6.516e-47
ENSG00000110811.20_P3H3	73.7	-4.5	1.964e-47	1.863e-43
ENSG00000162676.12_GFI1	228.4	-5.4	2.157e-41	1.187e-37
ENSG00000164929.17_BAALC	601.9	-6.3	3.784e-41	1.725e-37
ENSG00000180096.12_SEPTIN1	136.3	-3	3.352e-40	1.205e-36
ENSG00000158715.6_SLC45A3	731.8	-4.2	1.888e-39	5.685e-36
ENSG00000162591.16_MEGF6	394.4	-4.5	1.155e-37	3.115e-34
ENSG00000086730.17_LAT2	932	-3.1	2.536e-35	6.077e-32
ENSG00000169184.6_MN1	268	-3.3	1.344e-34	3.084e-31
ENSG00000120913.23_PDLIM2	133.2	-3.6	1.965e-33	3.511e-30
ENSG00000153113.23_CAST	12974.6	1.9	4.792e-33	9.642e-30
ENSG00000169385.3_RNASE2	786.2	-6.6	5.946e-33	9.642e-30
ENSG00000182557.8_SPNS3	500.7	-6.7	1.011e-32	1.589e-29
ENSG00000140848.17_CPNE2	184.2	-3.8	1.279e-32	1.744e-29
ENSG00000227191.8_TRGC2	92.8	-4.7	1.684e-32	2.068e-29
ENSG00000095932.7_SMIM24	1980.3	-6.7	1.661e-31	3.163e-28
ENSG00000198075.10_SULT1C4	75.4	-4.5	2.403e-31	3.800e-28
ENSG00000260401.1_AP002761.4	48.8	-4.6	2.599e-31	3.893e-28
ENSG00000266074.8_BAHCC1	317.7	-4.7	4.417e-31	5.035e-28
ENSG00000054392.13_HHAT	63.6	-2.8	2.291e-30	2.414e-27
ENSG00000167613.16_LAIR1	744.9	-3.9	5.180e-30	4.963e-27
ENSG00000135749.19_PCNX2	131.9	-3	7.712e-30	7.380e-27
ENSG00000107742.13_SPOCK2	184.1	-5.1	4.035e-29	3.440e-26
ENSG00000164050.13_PLXNB1	111.1	-4.8	7.366e-27	5.746e-24
ENSG00000128040.11_SPINK2	688.2	-6.7	1.386e-26	1.155e-23
ENSG00000188404.10_SELL	2049.4	-4.4	9.091e-26	9.258e-23
ENSG00000196684.12_HSH2D	1227.2	-2.2	4.246e-25	3.271e-22
ENSG00000154548.9_SRSF12	43.1	-5.1	4.839e-25	3.885e-22
ENSG00000166813.15_KIF7	95.9	-2.1	1.593e-24	1.169e-21
ENSG00000125170.11_DOK4	143.2	-2.4	2.560e-24	1.611e-21
ENSG00000197992.7_CLEC9A	44.9	-4.8	2.532e-24	1.890e-21
ENSG00000214193.11_SH3D21	129.4	-3.4	5.493e-24	3.246e-21
ENSG00000254343.2_AC091563.1	28.5	-2.9	8.805e-24	6.030e-21
ENSG00000163406.11_SLC15A2	71.6	-2.8	2.853e-23	1.947e-20
ENSG00000181409.14_AATK	36.6	-4.9	4.764e-23	3.766e-20
ENSG00000155792.10_DEPTOR	603	-2.3	6.644e-23	4.120e-20
ENSG00000122824.11_NUDT10	54.7	-3.9	9.975e-23	6.270e-20
ENSG00000059728.11_MXD1	3024.8	2.1	1.555e-22	9.457e-20
ENSG00000205593.12_DENND6B	156.4	-3.1	3.093e-22	1.702e-19
ENSG00000005379.17_TSPOAP1	377	-4.1	5.226e-22	2.750e-19
ENSG00000105855.10_ITGB8	25.8	-4.2	6.643e-22	3.682e-19
ENSG00000110492.15_MDK	328.8	-4.1	1.326e-21	7.032e-19
ENSG00000124253.11_PCK1	54.9	5.7	1.395e-21	7.384e-19
ENSG00000171476.22_HOPX	422.4	-4.8	1.645e-21	8.369e-19
ENSG00000196460.14_RFX8	12.8	-6.1	1.316e-21	8.369e-19
ENSG00000174059.17_CD34	3515.3	-4.6	1.789e-21	9.313e-19
ENSG00000023902.14_PLEKHO1	781.8	-4.4	2.075e-21	9.771e-19
ENSG00000213420.8_GPC2	43.4	-3	1.888e-21	1.261e-18
ENSG00000152620.13_NADK2	2438	1.4	3.324e-21	1.651e-18
ENSG00000177000.13_MTHFR	13271.5	1.9	3.766e-21	1.815e-18
ENSG00000105255.11_FSD1	30.8	-4	4.539e-21	2.085e-18
ENSG00000069188.17_SDK2	105.2	-4.6	7.389e-21	2.853e-18
ENSG00000142583.18_SLC2A5	223.9	-6.8	6.994e-21	2.953e-18
ENSG00000182472.9_CAPN12	182	-8	1.347e-20	5.011e-18
ENSG00000051128.19_HOMER3	24.7	-5.1	1.654e-20	7.054e-18
ENSG00000100448.4_CTSG	220.2	-5.8	4.577e-20	1.831e-17
ENSG00000142949.17_PTPRF	3600.5	-3.8	3.298e-20	1.840e-17
ENSG00000092067.5_CEBPE	54.1	-7.2	7.350e-20	2.975e-17
ENSG00000198663.16_C6orf89	8763.9	1.3	7.395e-20	3.014e-17
ENSG00000168246.6_UBTD2	92	-4.4	1.150e-19	3.677e-17
ENSG00000272168.8_CASC15	161.1	-3.6	1.843e-19	5.796e-17
ENSG00000105369.10_CD79A	121.6	-3.4	2.955e-19	9.218e-17
ENSG00000135596.18_MICAL1	857.1	-3	2.775e-19	9.885e-17
ENSG00000170390.16_DCLK2	31.8	-3.2	2.355e-19	1.031e-16
