gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000141562.18_NARF	33441.2	6.7	0.000e+00	0.000e+00
ENSG00000164543.7_STK17A	14408.7	6.9	0.000e+00	0.000e+00
ENSG00000164010.15_ERMAP	26686.1	6.7	3.400e-290	1.504e-285
ENSG00000082146.13_STRADB	24809.8	5.9	2.974e-263	9.565e-259
ENSG00000101782.15_RIOK3	68864.3	8.1	5.028e-259	7.028e-255
ENSG00000066926.11_FECH	61732.4	6.2	6.749e-258	1.442e-253
ENSG00000140941.14_MAP1LC3B	17785.1	6	6.684e-256	1.228e-251
ENSG00000118689.15_FOXO3	90675.5	7.7	2.564e-254	4.110e-250
ENSG00000142186.17_SCYL1	4841.1	3.6	1.634e-251	8.560e-248
ENSG00000159346.13_ADIPOR1	48187.6	6.7	3.176e-245	4.215e-241
ENSG00000125875.14_TBC1D20	6335.9	4.8	1.687e-235	1.072e-231
ENSG00000197324.9_LRP10	27348.7	6.9	2.686e-235	1.564e-231
ENSG00000022840.16_RNF10	82007.6	6.8	5.112e-234	5.059e-230
ENSG00000181788.4_SIAH2	47283.3	7	1.233e-230	1.133e-226
ENSG00000156381.9_ANKRD9	18049.5	8.1	1.432e-230	1.267e-226
ENSG00000126107.15_HECTD3	5711.4	4.2	1.220e-228	3.303e-225
ENSG00000107521.19_HPS1	32008.7	5.7	1.708e-228	7.023e-225
ENSG00000198925.12_ATG9A	18886.5	6	7.233e-227	5.333e-223
ENSG00000119950.21_MXI1	33711.7	8.6	4.016e-226	1.477e-222
ENSG00000107372.13_ZFAND5	40206.1	6.3	2.604e-226	1.728e-222
ENSG00000165006.14_UBAP1	27194.3	6.8	8.623e-220	2.870e-216
ENSG00000117394.23_SLC2A1	190702.6	8.3	8.959e-220	5.239e-216
ENSG00000105402.8_NAPA	15697.6	5.2	1.650e-218	9.229e-215
ENSG00000034713.8_GABARAPL2	13854	6.3	9.758e-216	5.396e-212
ENSG00000141452.10_RMC1	3082.5	4.6	4.359e-214	9.613e-211
ENSG00000147140.16_NONO	14929.9	-3.4	2.154e-213	1.100e-209
ENSG00000181163.13_NPM1	46263.6	-4.4	9.323e-211	2.418e-207
ENSG00000173926.6_MARCHF3	6328.1	7.3	1.817e-210	8.322e-207
ENSG00000170385.10_SLC30A1	15198.1	7.5	1.016e-209	4.507e-206
ENSG00000101928.13_MOSPD1	7884.9	7.3	2.287e-209	5.337e-206
ENSG00000164733.21_CTSB	46980.9	5.2	1.713e-209	7.110e-206
ENSG00000134352.20_IL6ST	21098.2	7.6	9.774e-208	2.138e-204
ENSG00000068971.14_PPP2R5B	7330.6	7.7	3.612e-207	7.663e-204
ENSG00000186591.13_UBE2H	48927	8	1.218e-206	4.607e-203
ENSG00000176896.8_TCEANC	3157.8	7.4	3.768e-206	5.935e-203
ENSG00000126775.9_ATG14	20331.3	7.7	2.353e-205	8.676e-202
ENSG00000068308.13_OTUD5	12378.7	4.8	1.512e-203	5.422e-200
ENSG00000034677.13_RNF19A	13907.1	6.7	9.731e-203	1.793e-199
