gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000129187.14_DCTD	1541.6	-7	1.076e-257	4.208e-253
ENSG00000181163.13_NPM1	46263.6	-4.7	4.324e-252	1.108e-247
ENSG00000184117.12_NIPSNAP1	2359.6	-6.2	8.732e-241	1.139e-236
ENSG00000066926.11_FECH	61732.4	5.6	1.193e-208	4.385e-204
ENSG00000197226.12_TBC1D9B	1685.4	-5.5	2.037e-203	1.766e-199
ENSG00000140284.11_SLC27A2	1013.1	-7.8	1.521e-201	9.941e-198
ENSG00000065675.15_PRKCQ	1184.7	-4.7	8.606e-198	4.820e-194
ENSG00000164010.15_ERMAP	26686.1	5.5	5.637e-198	1.036e-193
ENSG00000115993.13_TRAK2	69114.5	6.7	4.347e-195	2.403e-191
ENSG00000136444.10_RSAD1	747.1	-6.1	7.304e-192	2.857e-188
ENSG00000118513.19_MYB	9127.4	-7.7	7.850e-190	3.094e-186
ENSG00000173442.13_EHBP1L1	17514.6	4.8	4.754e-188	1.718e-184
ENSG00000107833.10_NPM3	1521	-7	9.389e-188	2.842e-184
ENSG00000162430.17_SELENON	1677.1	-7.7	3.821e-186	1.074e-182
ENSG00000122359.18_ANXA11	2141.5	-7.6	1.274e-184	3.321e-181
ENSG00000011295.16_TTC19	1468.1	-3.9	6.628e-184	1.796e-180
ENSG00000100814.18_CCNB1IP1	1819.3	-4.5	1.580e-179	4.030e-176
ENSG00000101844.18_ATG4A	3354.8	4.8	6.391e-178	1.935e-174
ENSG00000141562.18_NARF	33441.2	4.9	4.540e-175	1.302e-171
ENSG00000082146.13_STRADB	24809.8	4.8	2.738e-173	5.935e-170
ENSG00000183597.16_TANGO2	12688	4.9	2.565e-172	5.297e-169
ENSG00000159063.13_ALG8	921.5	-3.9	4.005e-162	7.339e-159
ENSG00000180353.11_HCLS1	1835.8	-6.1	4.051e-161	1.058e-157
ENSG00000072135.13_PTPN18	1355.8	-2.8	1.036e-159	1.689e-156
ENSG00000129675.16_ARHGEF6	2537.3	-7.8	5.188e-158	1.064e-154
ENSG00000104894.12_CD37	2751.5	-8.8	1.979e-157	2.977e-154
ENSG00000173926.6_MARCHF3	6328.1	6.3	3.088e-157	5.862e-154
ENSG00000101928.13_MOSPD1	7884.9	6.3	5.209e-157	9.256e-154
ENSG00000081177.18_EXD2	473.6	-4.3	9.380e-157	1.044e-153
ENSG00000144867.12_SRPRB	1451.4	-4.8	1.138e-156	1.493e-153
ENSG00000179222.17_MAGED1	2502.3	-7.7	1.501e-156	2.481e-153
ENSG00000112699.11_GMDS	555	-5.2	6.018e-155	6.018e-152
ENSG00000118689.15_FOXO3	90675.5	5.9	2.688e-151	4.176e-148
ENSG00000034677.13_RNF19A	13907.1	5.8	2.606e-150	3.928e-147
ENSG00000107242.19_PIP5K1B	5835.5	3.9	1.174e-150	4.934e-147
ENSG00000138801.9_PAPSS1	1107.2	-8.5	9.274e-150	1.008e-146
ENSG00000141569.12_TRIM65	1013.4	-4.4	1.015e-148	1.073e-145
ENSG00000196743.9_GM2A	1163.9	-6.1	3.734e-148	5.038e-145
ENSG00000170385.10_SLC30A1	15198.1	6.3	1.807e-147	2.525e-144
ENSG00000134986.14_NREP	2172.8	-8	1.734e-146	2.603e-143
ENSG00000089220.5_PEBP1	4975.8	-6.5	4.333e-146	5.259e-143
ENSG00000144118.14_RALB	1375.8	-5.8	9.950e-145	9.321e-142
ENSG00000145743.16_FBXL17	405.4	-4	9.040e-143	8.255e-140
ENSG00000006459.11_KDM7A	6679	6.7	3.456e-143	1.155e-139
ENSG00000073536.18_NLE1	1079.6	-6.3	2.940e-141	2.633e-138
ENSG00000053372.5_MRTO4	1709.5	-4.4	3.156e-141	2.684e-138
ENSG00000197894.11_ADH5	2295.6	-3.6	9.241e-141	8.916e-138
ENSG00000159216.18_RUNX1	4703.9	-5	1.744e-140	1.807e-137
ENSG00000101782.15_RIOK3	68864.3	5.9	7.521e-140	7.868e-137
ENSG00000111348.9_ARHGDIB	9107.2	-7.7	1.637e-139	1.629e-136
ENSG00000146386.8_ABRACL	929.7	-5.8	5.010e-138	3.843e-135
ENSG00000068971.14_PPP2R5B	7330.6	6.2	7.807e-137	7.697e-134
ENSG00000106348.18_IMPDH1	829.3	-9.4	1.355e-136	1.108e-133
ENSG00000101546.13_RBFA	697.1	-3.9	3.782e-136	2.740e-133
ENSG00000261824.7_LINC00662	217.2	-5.2	4.948e-136	2.879e-133
ENSG00000134352.20_IL6ST	21098.2	6.1	4.165e-136	4.053e-133
ENSG00000109787.13_KLF3	31255.9	5.5	2.667e-135	2.029e-132
ENSG00000117394.23_SLC2A1	190702.6	6.5	1.946e-134	1.455e-131
ENSG00000162367.11_TAL1	34794.3	4.1	2.573e-133	2.235e-130
ENSG00000125875.14_TBC1D20	6335.9	3.6	1.237e-132	8.943e-130
ENSG00000156381.9_ANKRD9	18049.5	6.1	1.278e-132	1.074e-129
ENSG00000179958.9_DCTPP1	1389.9	-5.6	4.865e-132	4.022e-129
ENSG00000197930.13_ERO1A	984.9	-7.2	3.166e-131	1.966e-128
ENSG00000126561.16_STAT5A	7171.6	-7.8	3.902e-131	2.644e-128
ENSG00000106484.16_MEST	1582.4	-9.6	5.760e-131	3.842e-128
ENSG00000092847.12_AGO1	1040.3	-4.4	1.875e-130	1.111e-127
ENSG00000072210.19_ALDH3A2	501.8	-5.5	5.833e-130	3.406e-127
ENSG00000113269.14_RNF130	3956.4	-7.4	1.197e-129	8.759e-127
