gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000196684.12_HSH2D	1227.2	-6.1	1.821e-168	4.263e-164
ENSG00000198286.9_CARD11	367.3	-8	3.754e-124	4.950e-120
ENSG00000124334.17_IL9R	300.1	-7.2	7.893e-120	5.145e-116
ENSG00000124334.17_PAR_Y_IL9R	300.1	-7.2	7.893e-120	5.145e-116
ENSG00000086730.17_LAT2	932	-6.1	2.975e-118	1.561e-114
ENSG00000113758.13_DBN1	612.7	-7.7	7.983e-115	3.350e-111
ENSG00000105737.9_GRIK5	496.9	-6.3	1.184e-112	3.697e-109
ENSG00000167613.16_LAIR1	744.9	-8.3	4.368e-105	1.374e-101
ENSG00000110031.12_LPXN	380.4	-4.7	1.117e-104	3.125e-101
ENSG00000186517.14_ARHGAP30	1024.6	-7.6	6.499e-104	1.521e-100
ENSG00000166145.14_SPINT1	203.7	-7.6	7.730e-98	1.904e-94
ENSG00000205744.10_DENND1C	362.7	-8.8	1.630e-97	3.681e-94
ENSG00000167460.17_TPM4	4247.6	-7.3	6.630e-95	1.553e-91
ENSG00000144843.11_ADPRH	76.5	-5.4	1.004e-92	1.497e-89
ENSG00000015285.11_WAS	1004.2	-5.9	1.299e-90	2.027e-87
ENSG00000158715.6_SLC45A3	731.8	-6.6	5.274e-88	8.649e-85
ENSG00000188404.10_SELL	2049.4	-9.6	5.500e-87	8.032e-84
ENSG00000111913.19_RIPOR2	932.5	-4.2	2.330e-86	3.030e-83
ENSG00000099337.5_KCNK6	358.8	-8	5.748e-86	7.316e-83
ENSG00000104814.13_MAP4K1	654.6	-4.8	9.084e-85	9.963e-82
ENSG00000132965.9_ALOX5AP	404.1	-8.3	1.662e-84	1.736e-81
ENSG00000276231.5_PIK3R6	177	-9	9.210e-84	1.527e-80
ENSG00000112655.16_PTK7	433.6	-5.5	7.592e-83	7.214e-80
ENSG00000005844.18_ITGAL	973.3	-9	1.195e-82	1.166e-79
ENSG00000153113.23_CAST	12974.6	3.1	3.603e-82	2.875e-79
ENSG00000255587.9_RAB44	311.6	-9.8	4.952e-82	4.606e-79
ENSG00000187239.17_FNBP1	2321.1	-7.4	3.051e-80	2.859e-77
ENSG00000251002.8_AC244502.1	323.6	-8.6	2.712e-79	2.438e-76
ENSG00000102879.15_CORO1A	2712.4	-7	6.427e-79	5.481e-76
ENSG00000128604.20_IRF5	541	-8.2	1.376e-78	1.003e-75
ENSG00000159164.10_SV2A	398.7	-7.7	2.982e-78	2.537e-75
ENSG00000184009.12_ACTG1	40939.6	-5	7.548e-77	4.705e-74
ENSG00000000971.16_CFH	262.1	-7.7	7.413e-77	5.924e-74
ENSG00000174059.17_CD34	3515.3	-12.4	2.621e-76	2.347e-73
ENSG00000136286.16_MYO1G	1960.6	-8.3	4.550e-75	3.289e-72
ENSG00000092929.11_UNC13D	3660.1	-3.1	9.673e-75	8.428e-72
ENSG00000185905.4_C16orf54	354.2	-5.6	1.677e-74	1.096e-71
ENSG00000105514.8_RAB3D	328.7	-5.4	1.011e-72	7.014e-70
ENSG00000135596.18_MICAL1	857.1	-6.5	3.489e-72	1.759e-69
ENSG00000100271.17_TTLL1	144.5	-3.4	3.415e-72	2.149e-69
ENSG00000140848.17_CPNE2	184.2	-7.5	7.352e-72	4.241e-69
ENSG00000088882.8_CPXM1	1234.9	-8.2	1.492e-70	8.768e-68
ENSG00000116157.6_GPX7	238.8	-6.4	4.575e-70	2.774e-67
ENSG00000152804.11_HHEX	1078	-8.1	1.056e-69	6.296e-67
ENSG00000137841.12_PLCB2	1181.6	-8.1	4.237e-69	2.204e-66
ENSG00000162676.12_GFI1	228.4	-8.1	4.088e-69	2.317e-66
ENSG00000117020.18_AKT3	240.4	-6.5	1.250e-68	6.693e-66
ENSG00000138964.17_PARVG	1135	-8.9	5.727e-68	3.004e-65
ENSG00000163106.11_HPGDS	593.7	-9.4	9.710e-68	5.226e-65
ENSG00000105122.13_RASAL3	506.4	-4.7	1.706e-67	8.588e-65
ENSG00000109743.11_BST1	118.7	-6.1	2.873e-67	1.418e-64
ENSG00000021355.13_SERPINB1	5849.5	-4.2	8.195e-67	3.144e-64
ENSG00000198771.11_RCSD1	1272.6	-7.7	1.969e-66	6.563e-64
ENSG00000150681.10_RGS18	139	-7.7	2.688e-66	1.253e-63
ENSG00000068831.19_RASGRP2	1165.7	-9.4	5.701e-66	2.426e-63
ENSG00000155792.10_DEPTOR	603	-4	8.606e-66	3.371e-63
ENSG00000069424.15_KCNAB2	2072.8	-3.7	8.142e-66	3.614e-63
ENSG00000163013.11_FBXO41	467.2	-7.5	1.781e-65	6.734e-63
ENSG00000072135.13_PTPN18	1355.8	-1.7	1.970e-65	8.429e-63
ENSG00000260997.1_AC004847.1	195.8	-8.7	3.053e-65	1.379e-62
ENSG00000170017.12_ALCAM	338	-6.9	4.585e-65	1.982e-62
ENSG00000100097.12_LGALS1	914.8	-8	5.528e-65	2.351e-62
ENSG00000167851.15_CD300A	226.8	-8.9	2.923e-64	1.122e-61
ENSG00000244274.7_DBNDD2	128.6	-6.9	5.013e-64	2.591e-61
ENSG00000066926.11_FECH	61732.4	3	3.953e-63	1.192e-60
ENSG00000173442.13_EHBP1L1	17514.6	2.8	4.052e-63	1.596e-60
ENSG00000024422.12_EHD2	254.7	-8.2	7.202e-63	2.599e-60
ENSG00000198208.12_RPS6KL1	890.8	4.4	1.365e-62	5.055e-60
ENSG00000139083.11_ETV6	2208.1	-3.3	2.371e-62	8.498e-60
ENSG00000157554.19_ERG	1603.8	-9	3.413e-61	1.204e-58
ENSG00000163297.17_ANTXR2	392.1	-8.1	4.056e-61	1.438e-58
ENSG00000140287.11_HDC	1332.9	-8.2	6.250e-60	2.142e-57
ENSG00000175857.8_GAPT	303.1	-9.6	8.764e-60	3.166e-57
ENSG00000128602.11_SMO	252	-6.5	1.017e-59	3.460e-57
ENSG00000099256.19_PRTFDC1	57.8	-5.8	1.098e-59	4.282e-57
ENSG00000196189.13_SEMA4A	275.6	-7.1	2.188e-59	7.505e-57
ENSG00000176463.14_SLCO3A1	236.3	-6.1	3.118e-59	1.056e-56
ENSG00000144711.16_IQSEC1	10351.7	3.6	8.831e-59	2.944e-56
ENSG00000144959.10_NCEH1	8018.2	4	9.176e-59	3.144e-56
ENSG00000168421.13_RHOH	1291	-4.5	1.284e-58	4.040e-56
ENSG00000204592.9_HLA-E	7527	-4.8	1.835e-58	4.418e-56
ENSG00000213190.4_MLLT11	223.9	-6.1	3.142e-58	9.991e-56
ENSG00000163466.16_ARPC2	4681.1	-2.4	3.289e-58	1.236e-55
ENSG00000142347.19_MYO1F	986.4	-9.2	5.389e-58	1.262e-55
ENSG00000077238.14_IL4R	545.5	-7.5	1.012e-57	3.139e-55
ENSG00000227191.8_TRGC2	92.8	-7.7	9.047e-58	3.480e-55
ENSG00000118922.17_KLF12	198.7	-8.6	1.887e-57	5.877e-55
ENSG00000054392.13_HHAT	63.6	-6.7	2.381e-57	6.809e-55
ENSG00000213658.11_LAT	821.7	-6.6	2.338e-57	6.927e-55
ENSG00000213654.10_GPSM3	1334.9	-4.3	2.858e-57	7.993e-55
ENSG00000090924.15_PLEKHG2	413.9	-5.5	6.954e-57	1.924e-54
ENSG00000140406.4_TLNRD1	156	-8.1	6.738e-57	2.671e-54
ENSG00000141696.13_P3H4	80.3	-6.5	1.883e-56	4.530e-54
ENSG00000204264.11_PSMB8	991.4	-4.3	2.361e-56	5.878e-54
ENSG00000170464.10_DNAJC18	165.8	-4.4	3.022e-56	1.052e-53
ENSG00000004468.13_CD38	684	-7.1	5.476e-56	1.504e-53
ENSG00000153395.10_LPCAT1	372.7	-7	6.996e-56	1.902e-53
ENSG00000140859.16_KIFC3	188.5	-6.2	8.849e-56	2.184e-53
ENSG00000166813.15_KIF7	95.9	-3.7	1.587e-55	5.305e-53
ENSG00000179583.19_CIITA	910.9	-4.9	2.734e-55	7.175e-53
ENSG00000157703.15_SVOPL	81.9	-8.1	5.161e-55	1.279e-52
ENSG00000169385.3_RNASE2	786.2	-8.8	5.182e-55	1.279e-52
