gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000196684.12_HSH2D	1227.2	-7	4.542e-206	1.150e-201
ENSG00000104814.13_MAP4K1	654.6	-6.4	2.097e-130	2.821e-126
ENSG00000105737.9_GRIK5	496.9	-7.5	6.157e-127	5.194e-123
ENSG00000124334.17_IL9R	300.1	-7.6	5.764e-118	3.406e-114
ENSG00000124334.17_PAR_Y_IL9R	300.1	-7.6	5.764e-118	3.406e-114
ENSG00000198286.9_CARD11	367.3	-7.8	2.727e-117	1.326e-113
ENSG00000015285.11_WAS	1004.2	-6.9	2.737e-116	1.027e-112
ENSG00000112655.16_PTK7	433.6	-7.1	3.451e-116	1.216e-112
ENSG00000113758.13_DBN1	612.7	-7.9	3.227e-114	1.010e-110
ENSG00000106348.18_IMPDH1	829.3	-4.5	3.238e-109	8.195e-106
ENSG00000111913.19_RIPOR2	932.5	-4.9	1.075e-108	2.867e-105
ENSG00000173442.13_EHBP1L1	17514.6	3.7	1.603e-108	3.987e-105
ENSG00000100271.17_TTLL1	144.5	-4.3	3.459e-103	9.086e-100
ENSG00000155792.10_DEPTOR	603	-5.1	1.880e-102	3.381e-99
ENSG00000105122.13_RASAL3	506.4	-6.2	2.445e-101	4.125e-98
ENSG00000164010.15_ERMAP	26686.1	3.9	3.824e-101	7.132e-98
ENSG00000086730.17_LAT2	932	-5.5	6.368e-98	1.099e-94
ENSG00000124766.7_SOX4	2656.9	-7.2	1.481e-97	1.941e-94
ENSG00000213654.10_GPSM3	1334.9	-5.8	6.167e-97	8.215e-94
ENSG00000144959.10_NCEH1	8018.2	5.2	1.482e-96	2.211e-93
ENSG00000205744.10_DENND1C	362.7	-7.9	7.111e-96	1.000e-92
ENSG00000105514.8_RAB3D	328.7	-6.7	8.017e-96	1.043e-92
ENSG00000139083.11_ETV6	2208.1	-4.1	1.521e-95	1.736e-92
ENSG00000066926.11_FECH	61732.4	3.7	6.404e-94	6.292e-91
ENSG00000261824.7_LINC00662	217.2	-3	2.234e-92	2.404e-89
ENSG00000100365.16_NCF4	1550	-6.7	6.524e-92	6.351e-89
ENSG00000185905.4_C16orf54	354.2	-6.6	1.290e-91	1.286e-88
ENSG00000068971.14_PPP2R5B	7330.6	5.1	1.523e-90	1.324e-87
ENSG00000110031.12_LPXN	380.4	-4.3	1.362e-90	1.324e-87
ENSG00000167460.17_TPM4	4247.6	-7.1	2.462e-90	2.155e-87
ENSG00000168421.13_RHOH	1291	-6	8.595e-90	7.459e-87
ENSG00000186517.14_ARHGAP30	1024.6	-6.8	1.632e-88	1.372e-85
ENSG00000147168.12_IL2RG	2072.1	-7.6	3.215e-88	2.621e-85
ENSG00000183597.16_TANGO2	12688	3.5	4.229e-88	3.064e-85
ENSG00000135776.5_ABCB10	21015.7	3.8	2.419e-86	1.810e-83
ENSG00000187239.17_FNBP1	2321.1	-7.8	2.916e-86	1.910e-83
ENSG00000100422.14_CERK	724.3	-6.7	2.694e-85	1.843e-82
ENSG00000104894.12_CD37	2751.5	-4.8	1.698e-84	1.202e-81
ENSG00000167613.16_LAIR1	744.9	-7	1.112e-83	7.215e-81
ENSG00000101844.18_ATG4A	3354.8	3.2	1.399e-83	7.999e-81
ENSG00000079150.18_FKBP7	111.4	-4.4	1.143e-83	9.520e-81
ENSG00000167123.19_CERCAM	223.3	-7.2	1.761e-83	1.200e-80
ENSG00000076662.10_ICAM3	2818.6	-7	3.301e-83	2.016e-80
ENSG00000184009.12_ACTG1	40939.6	-5.1	1.497e-81	1.015e-78
ENSG00000073921.18_PICALM	21914	2.4	2.092e-81	1.145e-78
ENSG00000144843.11_ADPRH	76.5	-4.7	4.359e-81	2.810e-78
ENSG00000166145.14_SPINT1	203.7	-8.5	6.000e-81	3.725e-78
ENSG00000174059.17_CD34	3515.3	-11.1	4.993e-80	2.379e-77
ENSG00000169105.7_CHST14	188.7	-6	8.333e-80	4.575e-77
ENSG00000023892.11_DEF6	843.3	-5	9.217e-80	5.196e-77
ENSG00000011638.10_TMEM159	351	-4.7	2.232e-79	1.108e-76
ENSG00000153113.23_CAST	12974.6	3	2.272e-79	1.144e-76
ENSG00000100814.18_CCNB1IP1	1819.3	-2.7	6.438e-79	3.503e-76
ENSG00000145287.10_PLAC8	673.5	-7	7.474e-79	3.503e-76
ENSG00000143224.18_PPOX	6640	3.6	9.229e-79	3.957e-76
ENSG00000276231.5_PIK3R6	177	-6.6	1.286e-78	6.372e-76
ENSG00000255587.9_RAB44	311.6	-8.2	4.639e-78	2.405e-75
ENSG00000180353.11_HCLS1	1835.8	-3.9	1.882e-77	9.520e-75
ENSG00000159164.10_SV2A	398.7	-7.8	3.241e-77	1.478e-74
ENSG00000123329.19_ARHGAP9	710.1	-6.4	1.168e-76	5.710e-74
ENSG00000000971.16_CFH	262.1	-8.1	2.680e-76	1.182e-73
ENSG00000140284.11_SLC27A2	1013.1	-3.5	3.397e-76	1.387e-73
ENSG00000196422.11_PPP1R26	289.2	-4.9	3.288e-76	1.404e-73
ENSG00000088882.8_CPXM1	1234.9	-8.6	1.147e-74	5.260e-72
ENSG00000116157.6_GPX7	238.8	-8	5.661e-74	2.138e-71
ENSG00000144711.16_IQSEC1	10351.7	4	4.772e-74	2.138e-71
ENSG00000155849.15_ELMO1	2330.6	-6.3	5.907e-74	2.138e-71
ENSG00000102879.15_CORO1A	2712.4	-6.8	2.979e-73	1.235e-70
ENSG00000082438.17_COBLL1	938.5	3.4	4.902e-72	1.865e-69
ENSG00000138801.9_PAPSS1	1107.2	-4.2	5.284e-72	1.982e-69
ENSG00000128604.20_IRF5	541	-7.5	6.281e-72	2.493e-69
ENSG00000251002.8_AC244502.1	323.6	-7.8	6.672e-72	2.652e-69
ENSG00000204592.9_HLA-E	7527	-5.3	1.375e-71	4.932e-69
ENSG00000152804.11_HHEX	1078	-8.4	7.252e-71	2.762e-68
ENSG00000170464.10_DNAJC18	165.8	-5.5	8.417e-71	3.316e-68
ENSG00000152558.15_TMEM123	4397.8	-4.2	1.755e-70	6.063e-68
ENSG00000163013.11_FBXO41	467.2	-8.7	2.841e-70	9.290e-68
ENSG00000138028.16_CGREF1	189.1	-6.6	4.020e-70	1.304e-67
ENSG00000104522.16_TSTA3	10187	2.8	6.566e-70	1.901e-67
ENSG00000188404.10_SELL	2049.4	-7.8	1.005e-69	3.542e-67
ENSG00000136286.16_MYO1G	1960.6	-8	2.247e-69	7.283e-67
ENSG00000179583.19_CIITA	910.9	-5.5	1.675e-68	5.362e-66
ENSG00000005844.18_ITGAL	973.3	-7.9	2.173e-68	7.683e-66
ENSG00000213190.4_MLLT11	223.9	-7.1	8.582e-68	2.923e-65
ENSG00000256269.10_HMBS	59732.8	4.4	1.120e-67	3.452e-65
ENSG00000117020.18_AKT3	240.4	-6.6	1.080e-67	3.711e-65
ENSG00000170017.12_ALCAM	338	-7.2	1.133e-67	3.848e-65
ENSG00000072135.13_PTPN18	1355.8	-1.7	1.934e-67	5.913e-65
ENSG00000092929.11_UNC13D	3660.1	-2.9	3.408e-67	9.030e-65
ENSG00000021355.13_SERPINB1	5849.5	-4.3	3.857e-67	9.803e-65
ENSG00000158715.6_SLC45A3	731.8	-5.7	4.754e-67	1.371e-64
ENSG00000091317.8_CMTM6	1158.8	-3.4	1.018e-66	3.118e-64
ENSG00000111348.9_ARHGDIB	9107.2	-5.1	1.978e-66	4.865e-64
ENSG00000187049.10_TMEM216	266.1	-3.3	2.523e-66	6.794e-64
ENSG00000067955.15_CBFB	1078	-7.2	2.862e-66	8.838e-64
ENSG00000176658.17_MYO1D	2174.4	3	4.042e-66	1.133e-63
ENSG00000188130.14_MAPK12	477.6	-5.5	5.858e-66	1.528e-63
ENSG00000140848.17_CPNE2	184.2	-6.6	5.695e-66	1.612e-63
ENSG00000102760.13_RGCC	7996.5	5.4	2.736e-65	8.247e-63
ENSG00000170382.12_LRRN2	1069.8	6.5	3.826e-65	9.684e-63
ENSG00000161955.16_TNFSF13	343.2	-3.3	3.612e-65	1.057e-62
ENSG00000135596.18_MICAL1	857.1	-6.1	4.413e-65	1.220e-62
ENSG00000092847.12_AGO1	1040.3	-2.9	4.730e-65	1.294e-62
ENSG00000163154.6_TNFAIP8L2	188.1	-6.1	6.618e-65	1.857e-62
ENSG00000242193.11_CRYZL2P	70.5	-4.7	8.992e-65	3.007e-62
ENSG00000128602.11_SMO	252	-8.6	1.778e-64	4.512e-62
ENSG00000106484.16_MEST	1582.4	-4.6	3.003e-64	7.104e-62
ENSG00000136044.12_APPL2	2037.2	3	3.294e-64	7.191e-62
ENSG00000198208.12_RPS6KL1	890.8	4.5	4.102e-64	1.013e-61
ENSG00000069424.15_KCNAB2	2072.8	-3.7	4.551e-64	1.086e-61
ENSG00000141562.18_NARF	33441.2	2.9	5.779e-64	1.228e-61
ENSG00000100092.23_SH3BP1	452.1	-5.6	7.177e-64	1.614e-61
ENSG00000065154.12_OAT	21853.6	3.4	8.077e-64	1.635e-61
ENSG00000204264.11_PSMB8	991.4	-4.6	1.246e-63	2.941e-61
ENSG00000263528.8_IKBKE	249.4	-6.4	1.685e-63	3.707e-61
ENSG00000275832.5_ARHGAP23	3306.6	4.5	2.287e-63	4.511e-61
ENSG00000136490.9_LIMD2	1767.9	-6.1	4.615e-63	1.157e-60
ENSG00000124496.12_TRERF1	271.8	-6.3	7.471e-63	1.847e-60
ENSG00000004468.13_CD38	684	-7.7	2.794e-62	6.317e-60
ENSG00000111679.17_PTPN6	2429.3	-5.3	3.469e-62	6.817e-60
ENSG00000130714.16_POMT1	288.4	-3.8	3.356e-62	7.937e-60
ENSG00000130560.9_UBAC1	16008.7	3.4	3.718e-62	7.982e-60
ENSG00000260997.1_AC004847.1	195.8	-8.5	5.357e-62	1.102e-59
ENSG00000139117.14_CPNE8	243.8	-5	6.736e-62	1.461e-59
ENSG00000114166.8_KAT2B	12249	5	7.951e-62	1.567e-59
