gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000169184.6_MN1	268	-7.4	1.314e-176	4.233e-172
ENSG00000196290.15_NIF3L1	998.9	3.3	4.760e-165	6.904e-161
ENSG00000126814.7_TRMT5	1150.6	3.4	8.336e-158	8.317e-154
ENSG00000010165.20_EEF1AKNMT	3829.1	3.4	6.600e-142	6.456e-138
ENSG00000136518.17_ACTL6A	2613.7	3.3	2.120e-140	1.711e-136
ENSG00000164051.14_CCDC51	474.4	3.1	2.931e-112	1.643e-108
ENSG00000184205.14_TSPYL2	1265.1	-5.7	1.311e-111	5.564e-108
ENSG00000164929.17_BAALC	601.9	-10.5	1.956e-111	8.221e-108
ENSG00000135749.19_PCNX2	131.9	-5.8	4.503e-110	1.683e-106
ENSG00000157110.16_RBPMS	262.7	-8	6.822e-110	2.197e-106
ENSG00000272168.8_CASC15	161.1	-8.5	8.210e-110	2.527e-106
ENSG00000184857.8_TMEM186	314.4	2.6	3.141e-107	8.861e-104
ENSG00000162591.16_MEGF6	394.4	-7.6	4.340e-105	1.126e-101
ENSG00000197329.12_PELI1	658.3	-3.4	9.085e-101	1.928e-97
ENSG00000171476.22_HOPX	422.4	-10.4	2.376e-99	5.101e-96
ENSG00000220205.9_VAMP2	2394.1	-3.7	1.171e-98	2.955e-95
ENSG00000180096.12_SEPTIN1	136.3	-4.7	4.887e-98	9.731e-95
ENSG00000156232.7_WHAMM	1660.2	-3.6	7.967e-97	1.325e-93
ENSG00000107742.13_SPOCK2	184.1	-9.3	2.685e-96	4.777e-93
ENSG00000105270.15_CLIP3	154.9	-6.6	4.852e-96	8.212e-93
ENSG00000133639.6_BTG1	5143.9	-4.8	4.369e-94	8.397e-91
ENSG00000100906.10_NFKBIA	11540.8	-7	6.544e-94	1.164e-90
ENSG00000165934.13_CPSF2	5411.8	2.3	2.543e-93	4.327e-90
ENSG00000143384.13_MCL1	12672.6	-3.1	9.804e-93	1.559e-89
ENSG00000163661.4_PTX3	135.7	-7.6	3.344e-92	4.619e-89
ENSG00000116604.18_MEF2D	3439.3	-4	1.854e-91	2.721e-88
ENSG00000230701.2_FBXW4P1	128.2	-7.8	2.426e-91	3.103e-88
ENSG00000100100.13_PIK3IP1	3651.4	-6.5	1.321e-89	1.788e-86
ENSG00000187595.16_ZNF385C	36.9	-5.6	4.860e-89	5.651e-86
ENSG00000146232.17_NFKBIE	1194.7	-5.1	8.875e-89	8.788e-86
ENSG00000146278.11_PNRC1	12202.4	-5.3	3.696e-88	4.958e-85
ENSG00000148110.16_MFSD14B	2995.3	3.2	4.202e-88	5.462e-85
ENSG00000161835.11_GRASP	599.3	-9	4.978e-87	5.210e-84
ENSG00000234290.2_AC116366.2	312.8	-7.9	1.163e-86	1.153e-83
ENSG00000125170.11_DOK4	143.2	-4.6	1.965e-86	1.939e-83
ENSG00000170476.16_MZB1	335.1	-10.7	8.632e-85	7.722e-82
ENSG00000214193.11_SH3D21	129.4	-6.3	9.639e-84	8.807e-81
ENSG00000211899.10_IGHM	2044.1	-10	5.602e-83	6.225e-80
ENSG00000109118.14_PHF12	3858.7	-2.7	1.004e-82	9.827e-80
ENSG00000167625.11_ZNF526	1235.2	2.9	1.947e-82	1.446e-79
ENSG00000157514.16_TSC22D3	14507.4	-9.5	6.181e-82	6.248e-79
ENSG00000124334.17_IL9R	300.1	5.7	1.366e-81	1.071e-78
ENSG00000124334.17_PAR_Y_IL9R	300.1	5.7	1.366e-81	1.071e-78
ENSG00000198075.10_SULT1C4	75.4	-7.2	3.222e-79	2.479e-76
ENSG00000256223.6_ZNF10	315.1	-2.4	8.118e-79	6.082e-76
ENSG00000165490.13_DDIAS	662.5	3.5	2.395e-78	1.559e-75
ENSG00000162757.4_C1orf74	228.8	4.1	5.254e-78	3.760e-75
ENSG00000066855.16_MTFR1	804.5	2	1.185e-77	8.305e-75
ENSG00000184678.10_H2BC21	1111	-6.1	1.414e-77	8.369e-75
ENSG00000073464.12_CLCN4	3602.3	4.6	1.556e-77	1.179e-74
ENSG00000163874.11_ZC3H12A	961	-5.5	7.576e-77	4.309e-74
ENSG00000152217.19_SETBP1	135.3	-7.9	6.630e-77	4.311e-74
ENSG00000154133.15_ROBO4	164.2	-9.2	1.699e-76	1.085e-73
ENSG00000171365.17_CLCN5	742.4	3.8	2.053e-75	1.138e-72
ENSG00000110492.15_MDK	328.8	-7.9	8.314e-75	4.868e-72
ENSG00000087074.8_PPP1R15A	36234	-4.7	1.204e-74	8.941e-72
ENSG00000119801.13_YPEL5	12050.6	-4	1.476e-74	1.045e-71
ENSG00000118292.9_C1orf54	63.4	-4.9	5.059e-74	2.980e-71
ENSG00000173218.15_VANGL1	2244.4	2.6	4.356e-74	2.980e-71
ENSG00000186871.7_ERCC6L	1005	4	1.662e-73	9.374e-71
ENSG00000087502.18_ERGIC2	1012.5	2.1	4.346e-73	2.067e-70
ENSG00000128271.22_ADORA2A	100.2	-6.2	3.398e-72	1.893e-69
ENSG00000167196.14_FBXO22	1088.1	2.3	4.673e-72	2.220e-69
ENSG00000144802.11_NFKBIZ	2450.3	-7.4	1.237e-71	7.801e-69
ENSG00000166813.15_KIF7	95.9	-3.7	2.233e-71	1.163e-68
ENSG00000173402.12_DAG1	2528	3.3	7.037e-71	4.068e-68
ENSG00000143845.15_ETNK2	48.7	-6.8	1.261e-70	6.364e-68
ENSG00000108840.15_HDAC5	8872.1	-4.3	1.278e-70	7.789e-68
ENSG00000086730.17_LAT2	932	-4.4	3.168e-70	1.364e-67
ENSG00000198520.12_ARMH1	741.3	-6.8	4.688e-70	1.989e-67
ENSG00000162396.6_PARS2	168.6	4.6	6.563e-70	3.109e-67
ENSG00000069188.17_SDK2	105.2	-8.5	8.221e-70	3.850e-67
ENSG00000230844.3_ZNF674-AS1	179.4	-3.4	8.265e-70	3.910e-67
ENSG00000116741.8_RGS2	956.4	-7	1.806e-69	8.262e-67
ENSG00000153234.14_NR4A2	1561.5	-9	2.098e-69	8.309e-67
ENSG00000133112.16_TPT1	147406.7	-2.7	1.604e-69	8.749e-67
ENSG00000160908.15_ZNF394	2412.2	-3.3	2.654e-69	1.349e-66
