gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000066926.11_FECH	61732.4	7.3	0.000e+00	0.000e+00
ENSG00000082146.13_STRADB	24809.8	6.7	0.000e+00	0.000e+00
ENSG00000126107.15_HECTD3	5711.4	5	0.000e+00	0.000e+00
ENSG00000156381.9_ANKRD9	18049.5	9.7	0.000e+00	0.000e+00
ENSG00000198925.12_ATG9A	18886.5	7.5	0.000e+00	0.000e+00
ENSG00000264522.6_OTUD7B	2880.7	7.6	0.000e+00	0.000e+00
ENSG00000164010.15_ERMAP	26686.1	6.8	1.288e-297	1.422e-293
ENSG00000105281.12_SLC1A5	45274.8	7.3	1.844e-294	1.919e-290
ENSG00000142186.17_SCYL1	4841.1	3.8	2.097e-280	1.292e-276
ENSG00000137216.19_TMEM63B	11516.3	8.1	7.604e-274	4.790e-270
ENSG00000141562.18_NARF	33441.2	6.1	7.105e-271	4.508e-267
ENSG00000198876.13_DCAF12	96060.9	9	1.624e-269	9.445e-266
ENSG00000084733.11_RAB10	10886.2	4.7	1.074e-266	6.389e-263
ENSG00000164733.21_CTSB	46980.9	5.8	3.044e-262	1.681e-258
ENSG00000100814.18_CCNB1IP1	1819.3	-6.6	5.916e-258	1.806e-254
ENSG00000001084.13_GCLC	28300.9	7.2	1.222e-257	5.329e-254
ENSG00000117394.23_SLC2A1	190702.6	9	2.996e-257	1.230e-253
ENSG00000137824.16_RMDN3	5133	4.6	2.249e-253	5.723e-250
ENSG00000115993.13_TRAK2	69114.5	7.7	8.847e-253	2.933e-249
ENSG00000197312.12_DDI2	21085.9	6.3	5.535e-252	1.931e-248
ENSG00000183597.16_TANGO2	12688	5.8	2.906e-237	9.656e-234
ENSG00000181163.13_NPM1	46263.6	-4.6	3.709e-235	1.303e-231
ENSG00000103257.9_SLC7A5	90427.9	7.2	8.511e-233	2.861e-229
ENSG00000101928.13_MOSPD1	7884.9	7.7	1.330e-232	3.490e-229
ENSG00000013561.18_RNF14	6095.1	7	2.721e-227	4.697e-224
ENSG00000164543.7_STK17A	14408.7	5.3	3.143e-225	7.615e-222
ENSG00000133422.13_MORC2	4447.8	4.6	1.762e-224	2.817e-221
ENSG00000118046.16_STK11	22864.3	6.1	4.568e-223	1.358e-219
ENSG00000162367.11_TAL1	34794.3	5.3	8.806e-221	2.348e-217
ENSG00000101844.18_ATG4A	3354.8	5.3	1.343e-220	2.391e-217
ENSG00000214517.10_PPME1	8028.8	5.2	1.884e-220	2.623e-217
ENSG00000147140.16_NONO	14929.9	-3.4	1.075e-215	1.450e-212
ENSG00000176896.8_TCEANC	3157.8	7.6	6.217e-215	8.130e-212
ENSG00000205659.10_LIN52	948.6	3.8	3.121e-213	2.925e-210
ENSG00000137193.14_PIM1	116799.3	7.5	2.337e-210	2.882e-207
ENSG00000133193.12_FAM104A	14098.7	6.8	5.071e-210	8.874e-207
ENSG00000173926.6_MARCHF3	6328.1	7.2	1.034e-206	1.760e-203
ENSG00000173011.12_TADA2B	2281.2	4.5	1.910e-205	1.855e-202
ENSG00000167625.11_ZNF526	1235.2	4.6	6.984e-205	6.701e-202
ENSG00000271121.2_NUDT4P2	10718.4	9.2	8.970e-205	1.734e-201
ENSG00000181704.12_YIPF6	5207.4	5.4	1.898e-200	2.566e-197
ENSG00000154803.13_FLCN	12017.7	6.5	1.778e-199	3.273e-196
ENSG00000197324.9_LRP10	27348.7	6.3	7.112e-199	1.279e-195
ENSG00000118496.5_FBXO30	33355.4	8.6	1.993e-197	3.161e-194
ENSG00000159346.13_ADIPOR1	48187.6	6	7.024e-197	1.207e-193
ENSG00000182512.5_GLRX5	47853.8	7.8	3.092e-196	4.235e-193
ENSG00000107521.19_HPS1	32008.7	5.2	8.961e-196	1.587e-192
ENSG00000155975.10_VPS37A	1453.3	3.5	4.372e-194	3.355e-191
ENSG00000109572.14_CLCN3	30017.6	6.8	4.302e-193	3.789e-190
ENSG00000156515.23_HK1	50280.4	5.3	5.750e-193	9.575e-190
ENSG00000105402.8_NAPA	15697.6	4.8	2.576e-191	2.180e-188
ENSG00000168785.8_TSPAN5	22204.6	8.5	1.877e-191	2.273e-188
ENSG00000029534.20_ANK1	110980.6	8.2	1.207e-190	1.589e-187
ENSG00000173598.14_NUDT4	106619.5	7.6	2.629e-190	3.067e-187
ENSG00000130830.15_MPP1	48547.4	5.6	5.363e-190	4.208e-187
ENSG00000086232.13_EIF2AK1	77893.1	5.4	4.025e-190	4.528e-187
ENSG00000121774.18_KHDRBS1	8087.1	-2.8	6.739e-190	8.251e-187
ENSG00000123405.14_NFE2	39067.1	5.4	2.246e-189	2.703e-186
ENSG00000256269.10_HMBS	59732.8	7.5	3.853e-188	2.819e-185
ENSG00000125875.14_TBC1D20	6335.9	4.2	1.331e-186	1.548e-183
ENSG00000111666.11_CHPT1	10454.9	4.7	2.605e-186	1.843e-183
ENSG00000175137.11_SH3BP5L	3127.7	4.7	3.551e-186	2.472e-183
ENSG00000196914.9_ARHGEF12	39538	7.5	6.135e-186	6.134e-183
ENSG00000101577.9_LPIN2	99966.8	8.1	3.619e-185	3.946e-182
ENSG00000171552.13_BCL2L1	112232.4	8.7	4.017e-185	4.312e-182
ENSG00000154114.12_TBCEL	27328.6	8.8	7.207e-185	6.878e-182
ENSG00000104408.10_EIF3E	17548.2	-4	1.196e-184	1.125e-181
ENSG00000162722.9_TRIM58	124269	9.1	2.747e-184	3.364e-181
ENSG00000130227.17_XPO7	108572.9	7.5	5.525e-184	6.190e-181
ENSG00000106266.11_SNX8	2896.1	4.6	1.927e-183	1.470e-180
ENSG00000183508.5_TENT5C	82528	7.6	3.398e-183	3.985e-180
ENSG00000179933.6_C14orf119	3182.8	5.8	2.060e-182	1.528e-179
ENSG00000100030.14_MAPK1	11920.3	4.5	1.890e-180	1.118e-177
ENSG00000147416.11_ATP6V1B2	14673.5	5.1	9.351e-180	1.052e-176
ENSG00000155252.13_PI4K2A	8735.1	6.6	4.646e-179	4.323e-176
ENSG00000134440.12_NARS1	11996.1	4.3	5.091e-179	5.179e-176
ENSG00000137266.14_SLC22A23	13141.3	8.6	1.534e-177	1.540e-174
ENSG00000065154.12_OAT	21853.6	5.7	4.336e-176	3.501e-173
ENSG00000074319.13_TSG101	4411.8	3.8	5.745e-176	4.031e-173
ENSG00000147454.14_SLC25A37	338341.1	9.1	5.816e-176	6.053e-173
ENSG00000031698.13_SARS1	12220.8	4.9	6.391e-176	6.100e-173
ENSG00000129187.14_DCTD	1541.6	-6.4	1.339e-173	7.866e-171
ENSG00000101782.15_RIOK3	68864.3	6.6	1.369e-172	1.151e-169
ENSG00000159023.21_EPB41	162484.6	8	1.680e-172	1.546e-169
ENSG00000160216.20_AGPAT3	6810	3.8	6.734e-171	5.529e-168
ENSG00000114209.15_PDCD10	6495.6	5.7	1.253e-170	6.288e-168
ENSG00000100325.15_ASCC2	12797.1	4.8	3.453e-170	2.770e-167
ENSG00000135966.13_TGFBRAP1	3045.8	-6	2.549e-169	1.250e-166
ENSG00000133816.15_MICAL2	52944.4	8.1	1.455e-168	1.030e-165
