gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000100814.18_CCNB1IP1	1819.3	-6.1	0.000e+00	0.000e+00
ENSG00000066926.11_FECH	61732.4	6.7	1.379e-295	4.784e-291
ENSG00000129187.14_DCTD	1541.6	-7.3	6.067e-280	7.088e-276
ENSG00000181163.13_NPM1	46263.6	-5	6.454e-279	7.543e-275
ENSG00000184117.12_NIPSNAP1	2359.6	-6.4	1.166e-256	1.111e-252
ENSG00000115993.13_TRAK2	69114.5	7.6	3.308e-248	3.504e-244
ENSG00000214517.10_PPME1	8028.8	5.4	1.540e-235	1.028e-231
ENSG00000082146.13_STRADB	24809.8	5.6	5.472e-234	4.346e-230
ENSG00000183597.16_TANGO2	12688	5.7	9.106e-231	6.429e-227
ENSG00000105281.12_SLC1A5	45274.8	6.4	1.245e-229	7.889e-226
ENSG00000264522.6_OTUD7B	2880.7	6.5	2.294e-228	1.190e-224
ENSG00000104894.12_CD37	2751.5	-10.6	1.195e-227	4.743e-224
ENSG00000197226.12_TBC1D9B	1685.4	-5.7	8.065e-216	2.449e-212
ENSG00000159216.18_RUNX1	4703.9	-6.2	5.124e-215	1.711e-211
ENSG00000124831.19_LRRFIP1	2954.9	-5.6	3.344e-209	1.281e-205
ENSG00000111913.19_RIPOR2	932.5	-7.5	3.685e-206	2.273e-202
ENSG00000164010.15_ERMAP	26686.1	5.6	4.017e-204	1.706e-200
ENSG00000156381.9_ANKRD9	18049.5	7.7	5.185e-204	1.826e-200
ENSG00000118513.19_MYB	9127.4	-8	8.453e-204	2.820e-200
ENSG00000197312.12_DDI2	21085.9	5.7	1.477e-200	5.333e-197
ENSG00000101844.18_ATG4A	3354.8	5.1	5.574e-199	1.514e-195
ENSG00000162430.17_SELENON	1677.1	-8	3.531e-197	6.336e-194
ENSG00000136444.10_RSAD1	747.1	-6.1	1.194e-195	2.050e-192
ENSG00000011295.16_TTC19	1468.1	-4	2.853e-194	4.166e-191
ENSG00000112699.11_GMDS	555	-5.8	3.480e-194	5.145e-191
ENSG00000126107.15_HECTD3	5711.4	3.9	3.938e-193	8.699e-190
ENSG00000158710.14_TAGLN2	13588	-6.6	2.550e-191	6.555e-188
ENSG00000156515.23_HK1	50280.4	5.3	9.824e-190	2.229e-186
ENSG00000107833.10_NPM3	1521	-7	2.087e-188	2.841e-185
ENSG00000122359.18_ANXA11	2141.5	-7.7	4.770e-188	7.433e-185
ENSG00000060558.4_GNA15	5005.4	-10.6	4.402e-187	8.040e-184
ENSG00000084733.11_RAB10	10886.2	3.9	1.265e-185	2.744e-182
ENSG00000162367.11_TAL1	34794.3	4.8	1.483e-184	3.118e-181
ENSG00000256223.6_ZNF10	315.1	-4.5	4.123e-181	4.788e-178
ENSG00000134986.14_NREP	2172.8	-8.8	2.922e-178	3.884e-175
ENSG00000101928.13_MOSPD1	7884.9	6.7	1.847e-177	3.252e-174
ENSG00000100599.16_AL159141.1	2884.5	-9	9.746e-177	1.513e-173
ENSG00000146232.17_NFKBIE	1194.7	-8.1	9.993e-175	9.086e-172
ENSG00000178585.15_CTNNBIP1	576.6	-5.5	5.296e-174	4.627e-171
ENSG00000123643.13_SLC36A1	4794.7	6.3	7.487e-174	8.750e-171
ENSG00000117543.21_DPH5	1069.9	-5.3	1.474e-173	1.419e-170
ENSG00000135966.13_TGFBRAP1	3045.8	-5.5	1.235e-173	1.667e-170
ENSG00000143995.20_MEIS1	1299.2	-8.1	2.478e-173	1.667e-170
ENSG00000137216.19_TMEM63B	11516.3	6.5	2.052e-173	2.180e-170
ENSG00000100034.14_PPM1F	1172.4	-8.6	1.406e-171	1.234e-168
ENSG00000179222.17_MAGED1	2502.3	-8.1	3.284e-171	3.369e-168
ENSG00000198925.12_ATG9A	18886.5	5.2	1.331e-167	1.799e-164
ENSG00000137824.16_RMDN3	5133	3.7	5.828e-166	6.991e-163
ENSG00000145743.16_FBXL17	405.4	-4.3	2.103e-165	1.586e-162
ENSG00000144959.10_NCEH1	8018.2	6.9	1.372e-164	1.744e-161
ENSG00000073921.18_PICALM	21914	3.4	2.098e-164	2.607e-161
ENSG00000117394.23_SLC2A1	190702.6	7.2	4.794e-164	6.397e-161
ENSG00000213654.10_GPSM3	1334.9	-9	1.715e-163	9.362e-161
ENSG00000167625.11_ZNF526	1235.2	4.1	4.041e-163	2.623e-160
ENSG00000173011.12_TADA2B	2281.2	4	6.069e-163	5.207e-160
ENSG00000168421.13_RHOH	1291	-10.4	1.523e-162	7.867e-160
ENSG00000181704.12_YIPF6	5207.4	4.8	1.299e-162	1.290e-159
ENSG00000029534.20_ANK1	110980.6	7.5	2.048e-162	2.550e-159
ENSG00000196628.18_TCF4	1333.5	-5.5	6.000e-162	3.513e-159
ENSG00000001084.13_GCLC	28300.9	5.7	1.584e-161	1.906e-158
ENSG00000180353.11_HCLS1	1835.8	-6.1	2.124e-159	1.620e-156
ENSG00000065154.12_OAT	21853.6	5.4	3.658e-159	4.094e-156
ENSG00000134215.16_VAV3	952.8	-8.4	5.422e-157	3.550e-154
ENSG00000162714.12_ZNF496	1615.6	-7.3	1.585e-155	7.163e-153
ENSG00000186716.21_BCR	2899.6	-9.5	2.353e-155	2.065e-152
ENSG00000107789.16_MINPP1	12845.5	4.7	7.283e-155	6.994e-152
ENSG00000123405.14_NFE2	39067.1	4.9	7.849e-155	7.425e-152
ENSG00000173926.6_MARCHF3	6328.1	6.2	6.083e-154	5.685e-151
ENSG00000256269.10_HMBS	59732.8	6.8	1.138e-153	7.709e-151
ENSG00000111348.9_ARHGDIB	9107.2	-8.1	2.696e-153	1.800e-150
ENSG00000113269.14_RNF130	3956.4	-8	6.176e-153	5.009e-150
ENSG00000135776.5_ABCB10	21015.7	5.2	9.788e-153	6.355e-150
ENSG00000076662.10_ICAM3	2818.6	-10.9	2.313e-152	1.474e-149
ENSG00000065675.15_PRKCQ	1184.7	-4.1	3.420e-152	1.624e-149
ENSG00000175115.12_PACS1	1670.2	-6.3	9.229e-152	4.858e-149
ENSG00000160216.20_AGPAT3	6810	3.6	5.129e-152	4.873e-149
ENSG00000149218.5_ENDOD1	6506.3	6.2	1.358e-151	8.242e-149
ENSG00000086730.17_LAT2	932	-7.3	3.580e-151	1.893e-148
ENSG00000145431.11_PDGFC	490.3	-5.2	2.522e-150	1.853e-147
ENSG00000124120.11_TTPAL	4517.9	6	2.665e-150	1.918e-147
ENSG00000164068.16_RNF123	13793.6	4.7	3.585e-150	2.069e-147
ENSG00000107242.19_PIP5K1B	5835.5	3.9	7.317e-150	4.171e-147
ENSG00000103257.9_SLC7A5	90427.9	5.7	3.456e-149	3.006e-146
ENSG00000170275.15_CRTAP	2489.2	-3.9	2.949e-148	1.641e-145
ENSG00000109572.14_CLCN3	30017.6	5.9	3.739e-148	3.176e-145
ENSG00000111328.7_CDK2AP1	2328.5	-5.2	3.188e-147	1.725e-144
ENSG00000118046.16_STK11	22864.3	4.9	3.283e-147	2.725e-144
ENSG00000164733.21_CTSB	46980.9	4.4	4.901e-147	3.865e-144
