gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000111913.19_RIPOR2	932.5	-6.2	8.773e-185	3.455e-180
ENSG00000010165.20_EEF1AKNMT	3829.1	3.7	3.404e-174	4.854e-170
ENSG00000086730.17_LAT2	932	-7.4	3.539e-174	4.854e-170
ENSG00000198286.9_CARD11	367.3	-9.3	2.235e-167	2.064e-163
ENSG00000196684.12_HSH2D	1227.2	-6	4.187e-163	3.619e-159
ENSG00000169184.6_MN1	268	-9.3	9.171e-162	5.420e-158
ENSG00000168421.13_RHOH	1291	-7.5	2.721e-160	1.641e-156
ENSG00000204592.9_HLA-E	7527	-7.7	1.691e-150	7.156e-147
ENSG00000196290.15_NIF3L1	998.9	3.1	7.506e-148	3.504e-144
ENSG00000136518.17_ACTL6A	2613.7	3.3	5.826e-142	2.294e-138
ENSG00000126814.7_TRMT5	1150.6	3.2	3.100e-138	1.218e-134
ENSG00000135596.18_MICAL1	857.1	-8.8	2.606e-130	9.328e-127
ENSG00000188404.10_SELL	2049.4	-11.7	5.216e-130	1.694e-126
ENSG00000105737.9_GRIK5	496.9	-6.8	7.781e-129	2.346e-125
ENSG00000186517.14_ARHGAP30	1024.6	-8.4	9.022e-127	2.369e-123
ENSG00000167460.17_TPM4	4247.6	-8.4	1.436e-126	4.845e-123
ENSG00000073464.12_CLCN4	3602.3	5.9	2.505e-125	7.957e-122
ENSG00000143995.20_MEIS1	1299.2	-6.2	1.103e-124	2.413e-121
ENSG00000146232.17_NFKBIE	1194.7	-6.2	2.466e-124	5.112e-121
ENSG00000100814.18_CCNB1IP1	1819.3	-3.4	3.794e-124	1.121e-120
ENSG00000184205.14_TSPYL2	1265.1	-6.1	4.069e-122	8.376e-119
ENSG00000113758.13_DBN1	612.7	-7.9	8.049e-121	1.544e-117
ENSG00000167625.11_ZNF526	1235.2	3.5	1.032e-117	1.895e-114
ENSG00000104814.13_MAP4K1	654.6	-5.6	2.399e-117	3.779e-114
ENSG00000205744.10_DENND1C	362.7	-9.6	2.576e-117	3.779e-114
ENSG00000197329.12_PELI1	658.3	-3.7	3.052e-116	4.623e-113
ENSG00000135749.19_PCNX2	131.9	-8.6	1.441e-114	1.933e-111
ENSG00000066926.11_FECH	61732.4	4.1	2.669e-114	3.227e-111
ENSG00000167613.16_LAIR1	744.9	-8.6	4.087e-113	5.950e-110
ENSG00000187239.17_FNBP1	2321.1	-8.8	9.543e-113	1.343e-109
ENSG00000139083.11_ETV6	2208.1	-4.5	1.367e-112	1.886e-109
ENSG00000165934.13_CPSF2	5411.8	2.6	1.062e-111	1.420e-108
ENSG00000166813.15_KIF7	95.9	-5.3	2.230e-111	2.448e-108
ENSG00000166145.14_SPINT1	203.7	-8	5.646e-110	6.132e-107
ENSG00000066855.16_MTFR1	804.5	2.4	6.300e-108	7.701e-105
ENSG00000107789.16_MINPP1	12845.5	3.9	2.199e-107	2.406e-104
ENSG00000100906.10_NFKBIA	11540.8	-7.4	9.195e-107	9.787e-104
ENSG00000157554.19_ERG	1603.8	-12	2.880e-106	3.159e-103
ENSG00000162591.16_MEGF6	394.4	-8	3.099e-106	3.159e-103
ENSG00000184009.12_ACTG1	40939.6	-5.8	8.025e-106	8.469e-103
ENSG00000165233.18_CARD19	513.5	-5.2	1.468e-105	1.734e-102
ENSG00000128604.20_IRF5	541	-9.5	5.521e-105	5.549e-102
