gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000111913.19_RIPOR2	932.5	-6.8	1.188e-213	4.744e-209
ENSG00000168421.13_RHOH	1291	-9	1.113e-200	2.364e-196
ENSG00000196684.12_HSH2D	1227.2	-6.9	2.323e-200	3.093e-196
ENSG00000100814.18_CCNB1IP1	1819.3	-4.3	4.827e-200	4.859e-196
ENSG00000204592.9_HLA-E	7527	-8.3	7.689e-171	4.804e-167
ENSG00000104814.13_MAP4K1	654.6	-7.3	2.620e-167	1.685e-163
ENSG00000124766.7_SOX4	2656.9	-9.3	5.800e-160	3.336e-156
ENSG00000198286.9_CARD11	367.3	-9	1.367e-159	6.593e-156
ENSG00000104894.12_CD37	2751.5	-6.6	8.617e-158	3.746e-154
ENSG00000139083.11_ETV6	2208.1	-5.3	1.053e-155	4.206e-152
ENSG00000066926.11_FECH	61732.4	4.8	9.204e-155	2.614e-151
ENSG00000076662.10_ICAM3	2818.6	-9.5	3.628e-153	9.041e-150
ENSG00000196290.15_NIF3L1	998.9	3.2	1.151e-152	3.565e-149
ENSG00000213654.10_GPSM3	1334.9	-7.3	2.280e-151	6.558e-148
ENSG00000086730.17_LAT2	932	-6.8	3.033e-150	8.077e-147
ENSG00000196465.10_MYL6B	1080.8	-3.2	3.322e-149	8.002e-146
ENSG00000146232.17_NFKBIE	1194.7	-6.8	1.798e-148	4.478e-145
ENSG00000105737.9_GRIK5	496.9	-8	3.524e-142	7.819e-139
ENSG00000073921.18_PICALM	21914	3.2	8.566e-142	1.408e-138
ENSG00000105122.13_RASAL3	506.4	-7.4	8.138e-142	1.625e-138
ENSG00000144959.10_NCEH1	8018.2	6.4	1.474e-141	2.193e-138
ENSG00000143995.20_MEIS1	1299.2	-6.7	3.237e-141	5.924e-138
ENSG00000107789.16_MINPP1	12845.5	4.5	2.471e-139	4.326e-136
ENSG00000073464.12_CLCN4	3602.3	6.1	1.600e-134	2.558e-131
ENSG00000145386.10_CCNA2	10074.3	5.6	3.209e-134	4.025e-131
ENSG00000010165.20_EEF1AKNMT	3829.1	3.2	2.055e-131	2.942e-128
ENSG00000183597.16_TANGO2	12688	4.3	2.534e-131	2.942e-128
ENSG00000136518.17_ACTL6A	2613.7	3.2	3.781e-129	5.284e-126
ENSG00000065154.12_OAT	21853.6	4.9	1.224e-128	1.699e-125
ENSG00000135776.5_ABCB10	21015.7	4.7	1.681e-127	2.256e-124
ENSG00000015285.11_WAS	1004.2	-7.3	1.085e-126	2.321e-123
ENSG00000167625.11_ZNF526	1235.2	3.6	8.886e-126	1.180e-122
ENSG00000125170.11_DOK4	143.2	-7.4	4.855e-122	1.031e-118
ENSG00000167460.17_TPM4	4247.6	-8.2	2.723e-121	2.511e-118
