gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000164543.7_STK17A	14408.7	6.4	0.000e+00	0.000e+00
ENSG00000142186.17_SCYL1	4841.1	3.6	3.305e-253	1.135e-248
ENSG00000107372.13_ZFAND5	40206.1	6.6	1.075e-252	2.412e-248
ENSG00000101782.15_RIOK3	68864.3	7.9	4.657e-248	7.780e-244
ENSG00000108840.15_HDAC5	8872.1	8	1.203e-245	3.531e-241
ENSG00000141562.18_NARF	33441.2	5.8	3.575e-243	3.110e-239
ENSG00000186591.13_UBE2H	48927	8.7	2.403e-242	2.294e-238
ENSG00000118689.15_FOXO3	90675.5	7.4	1.177e-233	7.677e-230
ENSG00000159346.13_ADIPOR1	48187.6	6.5	1.614e-231	9.360e-228
ENSG00000141452.10_RMC1	3082.5	4.8	1.643e-231	1.114e-227
ENSG00000022840.16_RNF10	82007.6	6.7	3.176e-230	4.175e-226
ENSG00000140941.14_MAP1LC3B	17785.1	5.7	3.412e-230	4.175e-226
ENSG00000125875.14_TBC1D20	6335.9	4.6	7.921e-226	4.072e-222
ENSG00000068971.14_PPP2R5B	7330.6	7.9	7.780e-223	3.714e-219
ENSG00000068308.13_OTUD5	12378.7	5	1.571e-221	7.052e-218
ENSG00000165006.14_UBAP1	27194.3	6.8	4.700e-219	4.313e-215
ENSG00000117394.23_SLC2A1	190702.6	8.2	1.609e-214	1.390e-210
ENSG00000164733.21_CTSB	46980.9	5.2	7.297e-212	2.729e-208
ENSG00000176896.8_TCEANC	3157.8	7.4	1.286e-210	3.908e-207
ENSG00000196998.19_WDR45	7783.7	6.3	1.176e-210	3.959e-207
ENSG00000107521.19_HPS1	32008.7	5.4	2.583e-210	1.806e-206
ENSG00000181788.4_SIAH2	47283.3	6.6	8.779e-210	2.667e-206
ENSG00000068323.17_TFE3	6270	5.3	1.318e-208	3.830e-205
ENSG00000134352.20_IL6ST	21098.2	7.5	2.361e-208	6.623e-205
ENSG00000170385.10_SLC30A1	15198.1	7.5	5.979e-208	1.257e-204
ENSG00000181163.13_NPM1	46263.6	-4.3	7.425e-206	1.923e-202
