gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000184117.12_NIPSNAP1	2359.6	-6.5	2.710e-269	9.211e-265
ENSG00000129187.14_DCTD	1541.6	-6.9	7.174e-251	1.173e-246
ENSG00000181163.13_NPM1	46263.6	-4.7	1.083e-246	1.760e-242
ENSG00000118513.19_MYB	9127.4	-8.2	2.597e-216	3.287e-212
ENSG00000197226.12_TBC1D9B	1685.4	-5.4	3.775e-195	2.470e-191
ENSG00000011295.16_TTC19	1468.1	-4	1.063e-194	4.794e-191
ENSG00000081177.18_EXD2	473.6	-4.8	8.287e-195	4.794e-191
ENSG00000162430.17_SELENON	1677.1	-7.9	1.755e-194	8.759e-191
ENSG00000107833.10_NPM3	1521	-7	2.549e-188	1.131e-184
ENSG00000065675.15_PRKCQ	1184.7	-4.5	8.085e-184	2.682e-180
ENSG00000136444.10_RSAD1	747.1	-5.8	1.455e-173	4.630e-170
ENSG00000140284.11_SLC27A2	1013.1	-7.2	1.571e-172	4.581e-169
ENSG00000197894.11_ADH5	2295.6	-3.9	9.106e-172	2.718e-168
ENSG00000101546.13_RBFA	697.1	-4.2	7.184e-158	1.707e-154
ENSG00000101844.18_ATG4A	3354.8	4.4	3.674e-157	1.194e-153
ENSG00000122359.18_ANXA11	2141.5	-7	6.437e-155	1.316e-151
ENSG00000073536.18_NLE1	1079.6	-6.6	9.311e-155	1.917e-151
ENSG00000100814.18_CCNB1IP1	1819.3	-4.1	6.256e-154	1.181e-150
ENSG00000159063.13_ALG8	921.5	-3.8	8.374e-153	1.462e-149
ENSG00000245552.7_AP000787.1	694.6	7.6	8.548e-153	1.496e-149
ENSG00000141569.12_TRIM65	1013.4	-4.5	4.391e-152	7.318e-149
ENSG00000175792.12_RUVBL1	2351.7	-4	1.813e-149	3.198e-146
ENSG00000068971.14_PPP2R5B	7330.6	6.4	7.009e-149	1.543e-145
ENSG00000122376.11_SHLD2	1060.6	-6.7	7.722e-148	1.067e-144
ENSG00000170385.10_SLC30A1	15198.1	6.2	1.131e-145	2.215e-142
ENSG00000131844.16_MCCC2	1619.8	-5.9	9.084e-144	1.159e-140
ENSG00000126561.16_STAT5A	7171.6	-8.1	8.172e-143	1.482e-139
ENSG00000157404.15_KIT	4123.1	-8.7	1.982e-142	3.435e-139
ENSG00000179222.17_MAGED1	2502.3	-7.4	3.160e-142	4.229e-139
ENSG00000186591.13_UBE2H	48927	6.6	4.180e-142	7.054e-139
ENSG00000115993.13_TRAK2	69114.5	5.7	4.613e-142	7.284e-139
ENSG00000145743.16_FBXL17	405.4	-4	1.536e-141	1.570e-138
