gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000198286.9_CARD11	367.3	-7.8	4.255e-119	8.517e-115
ENSG00000124334.17_IL9R	300.1	-7	1.376e-112	9.183e-109
ENSG00000124334.17_PAR_Y_IL9R	300.1	-7	1.376e-112	9.183e-109
ENSG00000105737.9_GRIK5	496.9	-5.2	1.751e-76	8.410e-73
ENSG00000092929.11_UNC13D	3660.1	-3.1	1.634e-73	7.527e-70
ENSG00000196684.12_HSH2D	1227.2	-3.9	4.246e-70	1.326e-66
ENSG00000186517.14_ARHGAP30	1024.6	-6.1	3.061e-67	7.219e-64
ENSG00000152804.11_HHEX	1078	-7.8	4.989e-66	1.169e-62
ENSG00000136286.16_MYO1G	1960.6	-7.7	2.581e-64	6.680e-61
ENSG00000113758.13_DBN1	612.7	-5.6	4.891e-62	1.064e-58
ENSG00000015285.11_WAS	1004.2	-4.8	3.341e-61	4.388e-58
ENSG00000166145.14_SPINT1	203.7	-5.9	4.464e-59	6.089e-56
ENSG00000140859.16_KIFC3	188.5	-6.4	1.538e-58	2.466e-55
ENSG00000144843.11_ADPRH	76.5	-4.2	8.548e-58	1.272e-54
ENSG00000111913.19_RIPOR2	932.5	-3.4	3.928e-57	4.545e-54
ENSG00000251002.8_AC244502.1	323.6	-7.1	3.506e-54	3.587e-51
ENSG00000205744.10_DENND1C	362.7	-6.4	6.531e-53	6.288e-50
ENSG00000163013.11_FBXO41	467.2	-6.6	7.874e-52	9.512e-49
ENSG00000276231.5_PIK3R6	177	-7	3.054e-51	2.903e-48
ENSG00000005844.18_ITGAL	973.3	-7	1.079e-50	7.793e-48
ENSG00000176659.9_C20orf197	47.7	-5.3	1.878e-50	2.451e-47
ENSG00000168421.13_RHOH	1291	-4.2	3.403e-50	3.296e-47
ENSG00000068971.14_PPP2R5B	7330.6	3.7	4.091e-50	4.413e-47
ENSG00000167460.17_TPM4	4247.6	-5.2	2.346e-49	2.526e-46
ENSG00000213658.11_LAT	821.7	-6.1	5.581e-49	3.790e-46
ENSG00000077238.14_IL4R	545.5	-6.9	8.829e-49	7.384e-46
ENSG00000110031.12_LPXN	380.4	-3.1	2.784e-48	2.018e-45
ENSG00000137841.12_PLCB2	1181.6	-6.7	2.302e-47	1.541e-44
ENSG00000169896.18_ITGAM	235.6	-6.8	6.128e-47	4.403e-44
ENSG00000024422.12_EHD2	254.7	-7	6.839e-47	4.751e-44
ENSG00000099337.5_KCNK6	358.8	-5.9	8.002e-47	5.005e-44
ENSG00000260997.1_AC004847.1	195.8	-7.3	2.403e-46	1.456e-43
ENSG00000102879.15_CORO1A	2712.4	-5.3	3.072e-46	2.456e-43
ENSG00000000971.16_CFH	262.1	-5.9	8.688e-46	5.325e-43
ENSG00000128604.20_IRF5	541	-6.2	1.265e-45	7.071e-43
ENSG00000008283.16_CYB561	233.3	-6.2	1.338e-45	7.442e-43
ENSG00000184009.12_ACTG1	40939.6	-3.8	1.884e-45	1.115e-42
ENSG00000179583.19_CIITA	910.9	-4.3	2.999e-44	1.370e-41
ENSG00000136929.13_HEMGN	47060.5	5.5	2.238e-44	1.514e-41
ENSG00000112655.16_PTK7	433.6	-4	3.868e-44	1.858e-41
ENSG00000187239.17_FNBP1	2321.1	-5.4	1.210e-43	6.874e-41
ENSG00000226777.7_FAM30A	1722.5	-7.2	2.903e-43	1.473e-40
ENSG00000099256.19_PRTFDC1	57.8	-4.8	7.329e-43	3.552e-40
ENSG00000258659.6_TRIM34	70.2	-4.8	9.737e-43	6.065e-40
ENSG00000147168.12_IL2RG	2072.1	-5.1	1.278e-42	7.047e-40
ENSG00000072135.13_PTPN18	1355.8	-1.3	2.263e-42	1.124e-39
ENSG00000117020.18_AKT3	240.4	-5.1	3.813e-42	1.581e-39
ENSG00000244274.7_DBNDD2	128.6	-5.6	7.640e-42	4.125e-39
ENSG00000132965.9_ALOX5AP	404.1	-5.8	2.710e-41	1.082e-38
ENSG00000244405.8_ETV5	235.7	-5.3	2.934e-41	1.144e-38
ENSG00000134242.16_PTPN22	271.7	-5.3	8.682e-41	3.408e-38
ENSG00000004468.13_CD38	684	-6	1.660e-40	5.418e-38
ENSG00000185905.4_C16orf54	354.2	-4.1	2.221e-40	6.858e-38
ENSG00000142347.19_MYO1F	986.4	-7.6	4.113e-40	1.322e-37
ENSG00000105122.13_RASAL3	506.4	-3.6	4.699e-40	1.858e-37
ENSG00000184730.11_APOBR	470.6	-5.7	1.552e-39	5.425e-37
ENSG00000213654.10_GPSM3	1334.9	-3.5	1.243e-38	3.701e-36
ENSG00000138964.17_PARVG	1135	-6.6	1.138e-38	3.709e-36
ENSG00000150681.10_RGS18	139	-5.8	6.325e-39	3.713e-36
ENSG00000105492.16_SIGLEC6	257.7	-6.6	1.564e-38	4.267e-36
ENSG00000144959.10_NCEH1	8018.2	3.2	2.176e-38	9.267e-36
ENSG00000154188.10_ANGPT1	578.1	-7.1	2.936e-38	9.267e-36
ENSG00000159164.10_SV2A	398.7	-5.3	4.164e-38	1.437e-35
ENSG00000122122.10_SASH3	703.6	-7.2	6.475e-38	1.461e-35
ENSG00000145287.10_PLAC8	673.5	-4.5	3.218e-37	7.152e-35
ENSG00000070190.13_DAPP1	89.8	-6.4	4.263e-37	1.167e-34
ENSG00000255587.9_RAB44	311.6	-6.5	6.320e-37	1.888e-34
ENSG00000204592.9_HLA-E	7527	-3.7	9.536e-37	3.266e-34
ENSG00000160255.18_ITGB2	1614.9	-4.3	2.911e-36	8.989e-34
ENSG00000167851.15_CD300A	226.8	-6.6	3.398e-36	1.012e-33
ENSG00000163106.11_HPGDS	593.7	-6.8	4.805e-36	1.319e-33
ENSG00000204264.11_PSMB8	991.4	-3.4	6.837e-36	1.567e-33
ENSG00000130158.14_DOCK6	82.7	-5	6.946e-36	2.091e-33
ENSG00000067225.18_PKM	7142.1	-7	8.630e-36	2.716e-33
ENSG00000179639.10_FCER1A	580.4	-7.6	2.878e-35	8.176e-33
ENSG00000100365.16_NCF4	1550	-4	4.101e-35	1.150e-32
ENSG00000103187.8_COTL1	2033.4	-5.9	4.769e-35	1.537e-32
ENSG00000188177.14_ZC3H6	1083.2	2.9	7.244e-35	1.612e-32
ENSG00000109743.11_BST1	118.7	-4.3	2.361e-34	7.745e-32
ENSG00000088882.8_CPXM1	1234.9	-5.6	3.996e-34	9.362e-32
ENSG00000077063.11_CTTNBP2	247.7	-7.3	7.488e-34	1.923e-31
ENSG00000116157.6_GPX7	238.8	-4.4	9.634e-34	1.923e-31
ENSG00000100097.12_LGALS1	914.8	-5.7	9.733e-34	1.936e-31
ENSG00000048740.18_CELF2	2728.4	-6.7	7.444e-34	2.199e-31
ENSG00000150995.19_ITPR1	1369.5	-3.4	1.045e-33	2.325e-31
ENSG00000181350.12_LRRC75A	560.6	3.6	1.163e-33	2.646e-31
ENSG00000170396.8_ZNF804A	82.1	-3.4	1.359e-33	3.433e-31
ENSG00000100271.17_TTLL1	144.5	-2.3	1.248e-33	4.914e-31
ENSG00000163171.8_CDC42EP3	259.9	-5.2	2.825e-33	6.354e-31
ENSG00000104814.13_MAP4K1	654.6	-2.9	3.906e-33	8.459e-31
ENSG00000121895.8_TMEM156	121.4	-5.5	8.176e-33	1.872e-30
ENSG00000170382.12_LRRN2	1069.8	4.7	1.132e-32	2.307e-30
ENSG00000117266.15_CDK18	163.2	-5.4	1.227e-32	2.382e-30
ENSG00000141696.13_P3H4	80.3	-4.9	1.141e-32	2.674e-30
ENSG00000068831.19_RASGRP2	1165.7	-6.5	1.683e-32	3.350e-30
ENSG00000275832.5_ARHGAP23	3306.6	3.2	3.540e-32	9.727e-30
ENSG00000114853.14_ZBTB47	34.1	-4.7	5.253e-32	1.021e-29
ENSG00000155849.15_ELMO1	2330.6	-4	4.639e-32	1.249e-29
ENSG00000153064.12_BANK1	81.5	-3.4	6.141e-32	1.700e-29
ENSG00000171777.16_RASGRP4	348.3	-5.8	8.835e-32	1.769e-29
ENSG00000139626.16_ITGB7	142	-6	8.801e-32	3.018e-29
ENSG00000157703.15_SVOPL	81.9	-6.1	1.540e-31	3.326e-29
ENSG00000196735.13_HLA-DQA1	289.5	-7.4	2.418e-31	4.575e-29
ENSG00000077984.6_CST7	323.6	-7.3	2.488e-31	4.661e-29
ENSG00000065675.15_PRKCQ	1184.7	-1.6	2.673e-31	4.771e-29
ENSG00000066336.11_SPI1	687.8	-6.5	4.473e-31	7.325e-29
ENSG00000174059.17_CD34	3515.3	-7.8	3.450e-31	8.507e-29
ENSG00000009790.15_TRAF3IP3	404.7	-5.1	6.150e-31	1.238e-28
ENSG00000035720.8_STAP1	282	-6.2	7.392e-31	1.315e-28
ENSG00000167613.16_LAIR1	744.9	-4.4	9.386e-31	1.481e-28
ENSG00000120949.15_TNFRSF8	113.6	-8.1	8.798e-31	1.652e-28
ENSG00000112137.17_PHACTR1	713.9	-4.8	1.172e-30	1.961e-28
ENSG00000139083.11_ETV6	2208.1	-2.3	1.143e-30	2.509e-28
ENSG00000101082.14_SLA2	293.7	-6.7	2.415e-30	4.107e-28
ENSG00000175857.8_GAPT	303.1	-6.7	2.667e-30	4.643e-28
ENSG00000101265.16_RASSF2	642	-6.4	3.661e-30	6.150e-28
