gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000198286.9_CARD11	367.3	-7.7	7.725e-118	1.529e-113
ENSG00000124334.17_IL9R	300.1	-7.7	7.999e-115	5.277e-111
ENSG00000124334.17_PAR_Y_IL9R	300.1	-7.7	7.999e-115	5.277e-111
ENSG00000196684.12_HSH2D	1227.2	-4.4	1.611e-84	7.744e-81
ENSG00000105737.9_GRIK5	496.9	-5.5	2.596e-80	1.020e-76
ENSG00000015285.11_WAS	1004.2	-5.6	2.103e-78	9.024e-75
ENSG00000168421.13_RHOH	1291	-5.5	6.746e-77	1.853e-73
ENSG00000092929.11_UNC13D	3660.1	-3.1	2.170e-76	5.607e-73
ENSG00000068971.14_PPP2R5B	7330.6	4.6	3.437e-75	7.892e-72
ENSG00000111913.19_RIPOR2	932.5	-3.9	7.147e-73	1.414e-69
ENSG00000152804.11_HHEX	1078	-8.2	6.739e-68	1.189e-64
ENSG00000147168.12_IL2RG	2072.1	-6.5	1.359e-66	2.197e-63
ENSG00000136286.16_MYO1G	1960.6	-7.8	5.178e-66	7.552e-63
ENSG00000170382.12_LRRN2	1069.8	6.7	1.462e-64	2.009e-61
ENSG00000112655.16_PTK7	433.6	-5.1	4.000e-64	5.277e-61
ENSG00000113758.13_DBN1	612.7	-5.8	1.733e-63	2.128e-60
ENSG00000145287.10_PLAC8	673.5	-6.4	2.117e-63	2.417e-60
ENSG00000105122.13_RASAL3	506.4	-4.7	8.038e-62	8.838e-59
ENSG00000136929.13_HEMGN	47060.5	6.5	1.222e-61	1.846e-58
ENSG00000100365.16_NCF4	1550	-5.3	5.046e-60	4.895e-57
ENSG00000186517.14_ARHGAP30	1024.6	-5.6	5.755e-59	5.317e-56
ENSG00000163013.11_FBXO41	467.2	-7.8	1.909e-58	1.669e-55
ENSG00000140859.16_KIFC3	188.5	-6.4	1.740e-57	1.455e-54
ENSG00000166145.14_SPINT1	203.7	-6.3	2.226e-57	1.836e-54
ENSG00000213654.10_GPSM3	1334.9	-4.3	5.529e-56	4.868e-53
ENSG00000134242.16_PTPN22	271.7	-6.4	1.188e-54	9.041e-52
ENSG00000144959.10_NCEH1	8018.2	3.8	6.103e-54	4.314e-51
ENSG00000181350.12_LRRC75A	560.6	4.5	1.995e-53	1.835e-50
ENSG00000144843.11_ADPRH	76.5	-3.9	3.799e-53	2.347e-50
ENSG00000176659.9_C20orf197	47.7	-6.2	5.894e-53	3.520e-50
ENSG00000184009.12_ACTG1	40939.6	-4.1	1.437e-52	8.851e-50
ENSG00000170396.8_ZNF804A	82.1	-4.7	1.851e-52	1.276e-49
ENSG00000077238.14_IL4R	545.5	-7.3	4.060e-52	2.883e-49
ENSG00000187239.17_FNBP1	2321.1	-6	1.112e-51	6.199e-49
ENSG00000011638.10_TMEM159	351	-3.7	1.447e-51	7.266e-49
ENSG00000226777.7_FAM30A	1722.5	-8.1	1.023e-50	5.625e-48
ENSG00000185905.4_C16orf54	354.2	-4.7	3.428e-50	1.833e-47
ENSG00000205744.10_DENND1C	362.7	-5.7	4.587e-50	2.121e-47
ENSG00000008283.16_CYB561	233.3	-6.8	1.150e-49	5.835e-47
ENSG00000155849.15_ELMO1	2330.6	-5.1	1.337e-49	6.336e-47
ENSG00000067955.15_CBFB	1078	-6	1.530e-49	9.611e-47
ENSG00000004468.13_CD38	684	-6.9	2.783e-49	1.274e-46
ENSG00000000971.16_CFH	262.1	-6.3	2.687e-47	1.202e-44
ENSG00000137841.12_PLCB2	1181.6	-6.7	5.032e-47	2.219e-44
ENSG00000024422.12_EHD2	254.7	-7.5	5.844e-47	2.497e-44
ENSG00000179583.19_CIITA	910.9	-4.5	6.250e-47	2.689e-44
ENSG00000110031.12_LPXN	380.4	-3.1	1.053e-46	5.770e-44
ENSG00000167460.17_TPM4	4247.6	-5	1.886e-46	8.120e-44
ENSG00000005844.18_ITGAL	973.3	-6.6	2.036e-46	9.157e-44
ENSG00000184922.14_FMNL1	2249.9	-6.3	2.444e-46	1.010e-43
ENSG00000104814.13_MAP4K1	654.6	-3.6	3.472e-46	1.347e-43
ENSG00000184730.11_APOBR	470.6	-6.3	3.637e-46	1.639e-43
ENSG00000100271.17_TTLL1	144.5	-2.7	4.968e-46	1.842e-43
ENSG00000196422.11_PPP1R26	289.2	-3.5	4.801e-45	1.728e-42
ENSG00000260997.1_AC004847.1	195.8	-7.1	5.382e-45	1.728e-42
ENSG00000204592.9_HLA-E	7527	-4.2	3.845e-45	1.971e-42
ENSG00000268292.1_AC006547.3	146.5	38	2.304e-44	7.943e-42
ENSG00000117020.18_AKT3	240.4	-5.4	3.016e-44	1.022e-41
ENSG00000251002.8_AC244502.1	323.6	-5.9	1.165e-43	3.471e-41
ENSG00000116157.6_GPX7	238.8	-6	1.853e-43	6.070e-41
ENSG00000187210.14_GCNT1	523.4	-4.7	3.255e-43	1.251e-40
ENSG00000100814.18_CCNB1IP1	1819.3	-2	5.527e-43	1.726e-40
ENSG00000141968.8_VAV1	837	-6.4	6.975e-43	2.191e-40
ENSG00000128604.20_IRF5	541	-5.9	1.078e-42	3.310e-40
ENSG00000167123.19_CERCAM	223.3	-4.9	1.643e-42	4.966e-40
ENSG00000204366.4_ZBTB12	168	-4.1	3.522e-42	9.414e-40
ENSG00000139083.11_ETV6	2208.1	-2.7	4.321e-42	1.333e-39
ENSG00000147454.14_SLC25A37	338341.1	4.4	3.438e-42	1.451e-39
ENSG00000072135.13_PTPN18	1355.8	-1.3	7.102e-42	1.979e-39
ENSG00000188177.14_ZC3H6	1083.2	3.2	1.004e-41	2.760e-39
ENSG00000275832.5_ARHGAP23	3306.6	3.6	1.294e-41	3.767e-39
ENSG00000138028.16_CGREF1	189.1	-4.6	2.547e-41	6.803e-39
ENSG00000204264.11_PSMB8	991.4	-3.6	2.986e-41	9.013e-39
ENSG00000150995.19_ITPR1	1369.5	-3.8	6.007e-41	1.678e-38
ENSG00000276231.5_PIK3R6	177	-4.7	1.032e-40	2.465e-38
ENSG00000213658.11_LAT	821.7	-5.5	1.155e-40	2.923e-38
ENSG00000258659.6_TRIM34	70.2	-4.7	1.028e-40	3.023e-38
ENSG00000102879.15_CORO1A	2712.4	-5	1.861e-40	4.721e-38
ENSG00000088882.8_CPXM1	1234.9	-6.4	2.037e-40	5.330e-38
ENSG00000106348.18_IMPDH1	829.3	-2.6	1.992e-40	6.411e-38
ENSG00000103187.8_COTL1	2033.4	-6.4	3.838e-40	8.985e-38
ENSG00000143119.14_CD53	1351.4	-6.6	4.006e-40	9.394e-38
ENSG00000081189.15_MEF2C	1104.6	-4.6	1.057e-39	2.471e-37
ENSG00000130158.14_DOCK6	82.7	-5.7	2.161e-39	4.610e-37
ENSG00000121895.8_TMEM156	121.4	-7.1	4.497e-39	1.040e-36
ENSG00000048740.18_CELF2	2728.4	-7.2	8.996e-39	2.025e-36
ENSG00000026297.15_RNASET2	599.1	-3.6	1.112e-38	2.512e-36
ENSG00000102312.22_PORCN	127.8	-4.1	1.391e-38	2.788e-36
ENSG00000169896.18_ITGAM	235.6	-5.8	1.498e-38	3.157e-36
ENSG00000009790.15_TRAF3IP3	404.7	-5.8	1.255e-38	3.245e-36
ENSG00000123329.19_ARHGAP9	710.1	-4.3	1.536e-38	3.245e-36
ENSG00000104432.14_IL7	126.8	-2.5	2.057e-38	4.059e-36
ENSG00000077063.11_CTTNBP2	247.7	-8.5	3.904e-38	7.875e-36
ENSG00000160255.18_ITGB2	1614.9	-4.4	5.103e-38	1.074e-35
ENSG00000187049.10_TMEM216	266.1	-2.4	1.690e-37	3.495e-35
ENSG00000244274.7_DBNDD2	128.6	-5	1.980e-37	3.624e-35
ENSG00000099256.19_PRTFDC1	57.8	-4.1	1.229e-36	2.793e-34
ENSG00000138801.9_PAPSS1	1107.2	-2.9	1.386e-36	2.798e-34
ENSG00000122122.10_SASH3	703.6	-7	2.200e-36	4.313e-34
ENSG00000135414.10_GDF11	513.3	-3.8	2.216e-36	4.354e-34
ENSG00000169105.7_CHST14	188.7	-3.8	3.105e-36	5.766e-34
ENSG00000159388.6_BTG2	16329.6	4.8	2.587e-36	7.280e-34
ENSG00000159164.10_SV2A	398.7	-5.1	3.203e-36	8.007e-34
ENSG00000170385.10_SLC30A1	15198.1	3	4.611e-36	8.463e-34
ENSG00000167208.15_SNX20	373.9	-5.8	3.502e-36	8.589e-34
ENSG00000080845.17_DLGAP4	428.3	-3.7	3.722e-36	9.041e-34
ENSG00000161642.17_ZNF385A	661.8	-6.8	9.204e-36	1.702e-33
ENSG00000173442.13_EHBP1L1	17514.6	2.1	1.069e-35	1.889e-33
ENSG00000101844.18_ATG4A	3354.8	2.1	8.572e-36	2.001e-33
ENSG00000117266.15_CDK18	163.2	-7.1	1.395e-35	2.273e-33
ENSG00000172543.8_CTSW	1005.8	-5.6	1.733e-35	3.002e-33
ENSG00000067225.18_PKM	7142.1	-6.9	1.835e-35	3.385e-33
ENSG00000104522.16_TSTA3	10187	2	2.322e-35	3.922e-33
ENSG00000135924.15_DNAJB2	6368.6	3.5	1.573e-35	3.959e-33
ENSG00000076662.10_ICAM3	2818.6	-4.3	4.696e-35	8.082e-33
ENSG00000242193.11_CRYZL2P	70.5	-2.6	5.603e-35	8.771e-33
ENSG00000099337.5_KCNK6	358.8	-4.8	5.691e-35	9.556e-33
