gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000198286.9_CARD11	367.3	-7.6	2.384e-112	5.316e-108
ENSG00000124334.17_IL9R	300.1	-7.4	3.605e-111	3.005e-107
ENSG00000124334.17_PAR_Y_IL9R	300.1	-7.4	3.605e-111	3.005e-107
ENSG00000068971.14_PPP2R5B	7330.6	5.3	6.885e-100	4.917e-96
ENSG00000196684.12_HSH2D	1227.2	-4.8	2.017e-98	9.074e-95
ENSG00000170382.12_LRRN2	1069.8	8.2	6.573e-97	2.777e-93
ENSG00000105737.9_GRIK5	496.9	-6.4	4.011e-92	1.365e-88
ENSG00000196422.11_PPP1R26	289.2	-5.2	6.110e-84	1.936e-80
ENSG00000015285.11_WAS	1004.2	-5.9	1.267e-83	3.568e-80
ENSG00000106348.18_IMPDH1	829.3	-3.8	2.424e-81	5.406e-78
ENSG00000100365.16_NCF4	1550	-6.3	3.086e-81	6.309e-78
ENSG00000147168.12_IL2RG	2072.1	-7.2	3.115e-80	5.838e-77
ENSG00000168421.13_RHOH	1291	-5.7	6.172e-80	1.131e-76
ENSG00000104432.14_IL7	126.8	-3.8	6.815e-79	1.121e-75
ENSG00000136929.13_HEMGN	47060.5	7.3	2.378e-77	3.535e-74
ENSG00000111913.19_RIPOR2	932.5	-4.1	2.680e-76	3.531e-73
ENSG00000181350.12_LRRC75A	560.6	5.4	5.314e-76	6.590e-73
ENSG00000112655.16_PTK7	433.6	-5.6	1.068e-72	1.323e-69
ENSG00000213654.10_GPSM3	1334.9	-5	1.137e-72	1.334e-69
ENSG00000144959.10_NCEH1	8018.2	4.4	6.315e-70	7.102e-67
ENSG00000105122.13_RASAL3	506.4	-5.1	3.321e-69	3.334e-66
ENSG00000101844.18_ATG4A	3354.8	2.9	1.566e-68	2.033e-65
ENSG00000152804.11_HHEX	1078	-8.2	2.776e-67	2.875e-64
ENSG00000104814.13_MAP4K1	654.6	-4.6	3.967e-67	3.685e-64
ENSG00000197496.6_SLC2A10	153.8	-4.5	5.301e-66	4.728e-63
ENSG00000092929.11_UNC13D	3660.1	-2.9	5.006e-66	4.815e-63
ENSG00000067955.15_CBFB	1078	-7	4.196e-64	3.887e-61
ENSG00000113758.13_DBN1	612.7	-5.8	6.554e-63	5.934e-60
