gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000112425.15_EPM2A	651.3	-6.4	6.882e-97	1.387e-92
ENSG00000142186.17_SCYL1	4841.1	-2.1	1.784e-87	1.717e-83
ENSG00000164543.7_STK17A	14408.7	-3	2.559e-72	1.642e-68
ENSG00000123595.8_RAB9A	1438.3	-2.9	1.113e-65	7.497e-62
ENSG00000260111.1_AC012184.1	88.8	19.8	2.963e-65	1.244e-61
ENSG00000100994.12_PYGB	1456.8	-3.6	1.533e-63	6.851e-60
ENSG00000158552.13_ZFAND2B	2369.3	-2.8	3.501e-59	9.424e-56
ENSG00000144567.11_RETREG2	26013.4	-3.4	6.573e-59	1.787e-55
ENSG00000126368.6_NR1D1	457.9	-7.3	1.307e-58	3.083e-55
ENSG00000145901.15_TNIP1	14949.6	-2.8	1.153e-57	2.220e-54
ENSG00000213753.11_CENPBD1P1	2103.3	-2.2	7.806e-56	1.367e-52
ENSG00000040633.13_PHF23	6031.6	-3.4	1.362e-55	2.412e-52
ENSG00000187688.15_TRPV2	4890.1	-6	1.660e-54	2.406e-51
ENSG00000010404.18_IDS	6176.9	-4.8	5.354e-53	6.884e-50
ENSG00000078699.21_CBFA2T2	4660.3	-5.3	7.101e-52	8.550e-49
ENSG00000127838.14_PNKD	8345.5	-4.4	6.962e-52	8.550e-49
ENSG00000196372.13_ASB13	431.6	-5.7	8.044e-52	1.007e-48
ENSG00000104904.12_OAZ1	57729.3	-3	1.921e-51	2.055e-48
ENSG00000173218.15_VANGL1	2244.4	2.2	1.596e-50	1.575e-47
ENSG00000068323.17_TFE3	6270	-2.6	1.822e-50	1.907e-47
ENSG00000119669.5_IRF2BPL	2441.1	-5.5	2.078e-50	1.907e-47
ENSG00000160688.19_FLAD1	1482.4	-2.5	3.138e-50	3.843e-47
ENSG00000006712.15_PAF1	3409.4	-1.4	1.012e-49	8.292e-47
ENSG00000144233.9_AMMECR1L	2159	-1.8	6.163e-49	4.815e-46
ENSG00000080189.15_SLC35C2	2194.3	-2.6	5.164e-48	3.873e-45
ENSG00000158850.15_B4GALT3	14063.2	-3.2	4.606e-48	6.997e-45
ENSG00000133422.13_MORC2	4447.8	-2.1	2.284e-47	1.840e-44
ENSG00000087152.15_ATXN7L3	7064.1	-3.5	1.490e-47	2.101e-44
ENSG00000157837.16_SPPL3	4063.3	-3.1	3.550e-47	2.307e-44
ENSG00000204463.12_BAG6	20595.5	-2.2	1.510e-46	9.058e-44
ENSG00000136807.14_CDK9	2854.5	-1.4	4.955e-46	3.131e-43
ENSG00000100906.10_NFKBIA	11540.8	-4.8	8.691e-46	1.062e-42
ENSG00000138463.9_SLC49A4	225.6	-4.3	1.744e-45	1.062e-42
ENSG00000205659.10_LIN52	948.6	-1.6	1.530e-45	1.200e-42
ENSG00000132463.14_GRSF1	5712.1	-2.8	2.496e-44	1.373e-41
ENSG00000197724.11_PHF2	1939.7	2.7	4.329e-44	2.255e-41
ENSG00000139266.6_MARCHF9	934.2	-5.3	4.073e-44	2.720e-41
ENSG00000167112.10_TRUB2	1308.9	-2.5	1.371e-43	1.155e-40
ENSG00000115649.16_CNPPD1	45611.1	-3.3	4.552e-43	2.101e-40
ENSG00000165006.14_UBAP1	27194.3	-2.9	4.457e-43	2.146e-40
ENSG00000132823.11_OSER1	8352.1	-3.4	6.627e-43	3.515e-40
ENSG00000137207.12_YIPF3	5897.5	-2.4	1.801e-42	7.720e-40
ENSG00000163374.19_YY1AP1	8623.5	-2.4	5.853e-42	2.450e-39
ENSG00000162413.16_KLHL21	25880	-4.1	7.290e-42	2.982e-39
