gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000164543.7_STK17A	14408.7	-6	2.858e-292	1.610e-287
ENSG00000142186.17_SCYL1	4841.1	-3.8	9.377e-276	2.848e-271
ENSG00000068323.17_TFE3	6270	-6	1.241e-263	2.331e-259
ENSG00000107372.13_ZFAND5	40206.1	-6.7	4.430e-256	6.658e-252
ENSG00000141452.10_RMC1	3082.5	-4.6	3.070e-220	2.738e-216
ENSG00000101782.15_RIOK3	68864.3	-7.3	1.222e-212	1.252e-208
ENSG00000186591.13_UBE2H	48927	-8.1	7.924e-208	6.805e-204
ENSG00000022840.16_RNF10	82007.6	-6.4	1.347e-206	1.035e-202
ENSG00000159346.13_ADIPOR1	48187.6	-6.1	1.550e-205	1.059e-201
ENSG00000145901.15_TNIP1	14949.6	-5.4	3.426e-202	1.930e-198
ENSG00000165006.14_UBAP1	27194.3	-6.5	3.771e-202	2.078e-198
ENSG00000118689.15_FOXO3	90675.5	-6.8	3.485e-198	1.760e-194
ENSG00000108840.15_HDAC5	8872.1	-7.1	4.731e-192	2.188e-188
ENSG00000197324.9_LRP10	27348.7	-6.1	7.295e-190	3.133e-186
ENSG00000115649.16_CNPPD1	45611.1	-7	6.940e-186	2.607e-182
ENSG00000171552.13_BCL2L1	112232.4	-8.7	2.498e-182	9.463e-179
ENSG00000068308.13_OTUD5	12378.7	-4.5	3.197e-182	1.140e-178
ENSG00000196998.19_WDR45	7783.7	-5.9	5.580e-182	1.746e-178
ENSG00000181788.4_SIAH2	47283.3	-6.1	2.230e-180	6.611e-177
ENSG00000006712.15_PAF1	3409.4	-2.8	1.148e-178	2.560e-175
ENSG00000024048.10_UBR2	16946.5	-5.7	1.331e-177	3.841e-174
ENSG00000134352.20_IL6ST	21098.2	-6.9	6.028e-177	1.647e-173
ENSG00000164733.21_CTSB	46980.9	-4.7	6.270e-174	1.639e-170
ENSG00000140941.14_MAP1LC3B	17785.1	-4.9	8.460e-174	1.986e-170
ENSG00000100100.13_PIK3IP1	3651.4	-9.1	8.041e-172	1.954e-168
ENSG00000158850.15_B4GALT3	14063.2	-6.2	7.355e-171	1.593e-167
ENSG00000198876.13_DCAF12	96060.9	-7.1	1.107e-169	2.491e-166
ENSG00000183508.5_TENT5C	82528	-7.3	1.020e-168	2.239e-165
ENSG00000125875.14_TBC1D20	6335.9	-4	1.642e-167	3.405e-164
ENSG00000034713.8_GABARAPL2	13854	-5.5	3.380e-165	6.774e-162
ENSG00000176896.8_TCEANC	3157.8	-6.5	9.639e-164	1.889e-160
ENSG00000139112.11_GABARAPL1	16960.4	-8.8	4.602e-162	8.736e-159
ENSG00000126775.9_ATG14	20331.3	-6.8	3.823e-161	7.037e-158
ENSG00000105402.8_NAPA	15697.6	-4.4	1.975e-160	3.492e-157
ENSG00000166046.11_TCP11L2	19619.1	-12.9	2.657e-159	4.612e-156
ENSG00000236104.3_ZBTB22	1451.5	-4.3	9.374e-159	1.164e-155
ENSG00000146278.11_PNRC1	12202.4	-7.1	9.505e-158	1.447e-154
ENSG00000198925.12_ATG9A	18886.5	-5	4.623e-157	7.390e-154
ENSG00000160445.11_ZER1	10264.6	-4.9	5.647e-157	8.157e-154
ENSG00000162923.16_WDR26	66498.9	-6.6	6.239e-157	9.376e-154
ENSG00000129657.16_SEC14L1	29905.4	-5.9	3.012e-155	4.515e-152
ENSG00000154114.12_TBCEL	27328.6	-8	3.799e-154	5.438e-151
ENSG00000136807.14_CDK9	2854.5	-2.6	4.266e-154	5.930e-151
ENSG00000198736.11_MSRB1	1864.5	-5.9	1.166e-153	1.182e-150
ENSG00000158828.8_PINK1	10302.6	-6.7	3.874e-153	5.175e-150
ENSG00000158552.13_ZFAND2B	2369.3	-4.5	1.709e-152	1.660e-149
ENSG00000125772.14_GPCPD1	15399.5	-5.7	8.018e-152	1.049e-148
ENSG00000118496.5_FBXO30	33355.4	-7.5	1.636e-151	2.095e-148
ENSG00000181220.17_ZNF746	9277.4	-5.9	2.111e-151	2.618e-148
ENSG00000130227.17_XPO7	108572.9	-6.8	5.628e-151	6.918e-148
ENSG00000144567.11_RETREG2	26013.4	-5.4	8.677e-150	9.585e-147
ENSG00000106066.15_CPVL	3961.3	5.9	1.602e-149	1.872e-146
ENSG00000106052.13_TAX1BP1	13899.7	-4.7	1.789e-149	2.046e-146
ENSG00000101577.9_LPIN2	99966.8	-7.2	7.790e-149	8.127e-146
ENSG00000100439.10_ABHD4	7524.2	-6.3	8.828e-149	9.042e-146
ENSG00000132376.20_INPP5K	4507.3	-5.1	2.283e-148	1.818e-145
ENSG00000168818.10_STX18	3849.1	-4.8	2.120e-148	2.260e-145
ENSG00000197894.11_ADH5	2295.6	4.2	4.344e-148	3.341e-145
ENSG00000178694.10_NSUN3	7302.8	-7.1	9.971e-148	1.027e-144
ENSG00000125952.20_MAX	4355.8	-4.6	6.656e-147	4.948e-144
ENSG00000180573.9_H2AC6	2068.5	-7.3	1.129e-145	9.071e-143
ENSG00000136003.15_ISCU	14040.6	-6.1	1.282e-145	1.256e-142
ENSG00000137193.14_PIM1	116799.3	-6.2	3.337e-144	2.984e-141
ENSG00000100325.15_ASCC2	12797.1	-4.4	1.561e-142	1.479e-139
ENSG00000123091.5_RNF11	18821.1	-6.7	2.485e-142	2.289e-139
ENSG00000198858.10_R3HDM4	33910.9	-7.3	2.681e-142	2.289e-139
ENSG00000166169.17_POLL	4109	-3.7	4.222e-142	3.550e-139
ENSG00000184117.12_NIPSNAP1	2359.6	5.2	5.954e-142	3.907e-139
ENSG00000143367.16_TUFT1	3858.9	-8.5	1.533e-141	1.328e-138
ENSG00000099804.9_CDC34	12432	-5.7	6.161e-141	5.291e-138
ENSG00000140743.8_CDR2	6785.7	-6	1.640e-140	1.420e-137
ENSG00000086544.3_ITPKC	1336.8	-4.5	8.250e-140	5.112e-137
ENSG00000172331.12_BPGM	50830	-8	7.055e-140	5.810e-137
ENSG00000179833.4_SERTAD2	11823.5	-6.1	8.026e-140	6.588e-137
ENSG00000182372.10_CLN8	6083.8	-6.4	1.124e-139	9.086e-137
ENSG00000137207.12_YIPF3	5897.5	-4.5	1.294e-139	1.023e-136
ENSG00000107521.19_HPS1	32008.7	-4.4	3.113e-139	2.430e-136
ENSG00000163704.12_PRRT3	1021.2	-7.5	1.255e-138	7.179e-136
ENSG00000082146.13_STRADB	24809.8	-4.3	1.035e-138	7.381e-136
ENSG00000133193.12_FAM104A	14098.7	-5.5	2.096e-138	1.610e-135
ENSG00000181163.13_NPM1	46263.6	3.5	2.454e-138	1.821e-135
ENSG00000073792.15_IGF2BP2	15100.6	-4.3	2.650e-138	1.942e-135
ENSG00000099785.10_MARCHF2	4990	-6	3.828e-137	2.057e-134
ENSG00000113916.18_BCL6	3258.1	-10.7	2.161e-136	1.538e-133
ENSG00000184481.17_FOXO4	10320.1	-5.8	2.191e-136	1.562e-133
