gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000111846.17_GCNT2	2393.4	8.3	6.110e-130	7.426e-126
ENSG00000260111.1_AC012184.1	88.3	-24.5	3.732e-66	6.050e-62
ENSG00000115425.14_PECR	523.8	-4.6	1.184e-58	7.312e-55
ENSG00000140853.15_NLRC5	522.8	3.2	5.736e-47	2.159e-43
ENSG00000135269.18_TES	1873.6	-4.2	1.391e-45	3.430e-42
ENSG00000169241.19_SLC50A1	1396	3.1	2.789e-42	5.649e-39
ENSG00000085662.14_AKR1B1	1376.3	-5.2	4.343e-42	7.448e-39
ENSG00000106263.18_EIF3B	14007.6	2.4	7.293e-42	1.108e-38
ENSG00000136231.14_IGF2BP3	1123.2	-6	8.562e-42	1.156e-38
ENSG00000198892.6_SHISA4	263.4	5.4	5.167e-40	9.571e-37
ENSG00000188677.14_PARVB	3985.7	2.5	5.506e-39	6.258e-36
ENSG00000174951.11_FUT1	957.2	-4.5	1.655e-37	1.700e-34
ENSG00000204427.12_ABHD16A	2856.8	1.8	6.664e-36	7.781e-33
ENSG00000139116.18_KIF21A	500.3	4.6	2.223e-35	2.391e-32
ENSG00000203485.13_INF2	2046.4	4.7	5.277e-33	4.276e-30
ENSG00000167785.9_ZNF558	446.7	-2.3	9.503e-33	9.837e-30
ENSG00000206561.13_COLQ	238.4	4.8	1.275e-32	1.242e-29
ENSG00000171492.14_LRRC8D	2378.8	-2.4	1.700e-31	1.148e-28
ENSG00000105559.12_PLEKHA4	538.5	-3.7	2.380e-31	2.320e-28
ENSG00000105227.15_PRX	651.7	4.1	1.208e-30	7.446e-28
ENSG00000169855.20_ROBO1	471.3	-4.3	1.682e-30	1.327e-27
ENSG00000063761.16_ADCK1	766.6	3	4.692e-30	2.560e-27
ENSG00000120158.12_RCL1	5084.1	2	1.142e-29	7.538e-27
ENSG00000198879.12_SFMBT2	495.7	-4.3	1.739e-29	1.343e-26
ENSG00000108561.8_C1QBP	4951.6	2.5	2.714e-28	1.319e-25
ENSG00000151726.14_ACSL1	4710.2	2.8	6.702e-28	3.133e-25
ENSG00000187840.5_EIF4EBP1	2102.7	-3	7.182e-28	3.233e-25
ENSG00000115504.14_EHBP1	956.7	-1.4	9.879e-28	4.236e-25
ENSG00000241990.5_PRR34-AS1	140.1	5.6	5.808e-28	5.647e-25
ENSG00000092621.12_PHGDH	3698.1	-5.3	3.447e-27	1.744e-24
ENSG00000155363.18_MOV10	2604.8	-2.5	5.856e-27	2.296e-24
ENSG00000169442.9_CD52	1831.2	7.9	1.252e-26	4.754e-24
ENSG00000091490.11_SEL1L3	872.8	-4.6	1.914e-26	6.963e-24
ENSG00000144161.13_ZC3H8	485	2.6	1.437e-26	7.430e-24
ENSG00000143061.17_IGSF3	765.7	-3.1	2.162e-26	7.508e-24
ENSG00000124570.20_SERPINB6	2231.4	-3.7	2.471e-26	8.341e-24
ENSG00000184014.8_DENND5A	2968.3	-2.8	3.469e-26	1.139e-23
ENSG00000085511.20_MAP3K4	1895.4	-1.9	5.714e-26	1.440e-23
ENSG00000187800.13_PEAR1	1361.8	2.9	4.866e-26	1.516e-23
ENSG00000103415.12_HMOX2	538.7	-3.8	5.389e-26	2.496e-23
ENSG00000081026.19_MAGI3	232.3	-4	1.174e-25	5.240e-23
ENSG00000159228.13_CBR1	866.3	3.1	1.987e-25	5.679e-23
ENSG00000090487.11_SPG21	2401	1.7	3.648e-25	8.122e-23
ENSG00000197956.10_S100A6	14521	3.2	4.667e-25	1.326e-22
