symbol	ensg	cell_type	baseMean	log2FoldChange	pvalue	padj
AL031600.3	ENSG00000261641	CD34	243.2	27.2	5.553e-31	1.209e-26
KIF2A	ENSG00000068796	CD34	1912.6	-1.7	1.921e-26	1.501e-22
REL	ENSG00000162924	CD34	2062.6	-3.5	1.764e-24	9.203e-21
UBE4A	ENSG00000110344	CD34	3462.5	-1.6	1.005e-23	3.852e-20
SPTB	ENSG00000070182	CD34	67385.3	3.6	1.973e-23	4.079e-20
ZFP91-CNTF	ENSG00000255073	CD34	321.8	-23.4	1.852e-23	5.006e-20
AC112191.2	ENSG00000254373	CD34	294.1	4.9	2.012e-23	5.303e-20
KRT10	ENSG00000186395	CD34	470.7	1.8	9.98e-23	1.956e-19
SMDT1	ENSG00000183172	CD34	1126.8	1.4	1.675e-22	2.876e-19
TRIR	ENSG00000123144	CD34	4458.6	1.7	2.531e-22	3.503e-19
TAOK1	ENSG00000160551	CD34	3447.7	-2	2.404e-22	3.503e-19
NUMB	ENSG00000133961	CD34	2025.3	-1.1	4.012e-21	4.733e-18
NUMB	ENSG00000133961	CD34	2025.3	-1.1	4.012e-21	4.733e-18
CCDC93	ENSG00000125633	CD34	796	-1.6	6.77e-21	6.101e-18
AC073896.4	ENSG00000258199	CD34	188.7	3.5	4.713e-21	6.101e-18
ASXL2	ENSG00000143970	CD34	4556.5	-2.2	1.326e-20	1.262e-17
AC005944.1	ENSG00000267469	CD34	923.7	2.2	6.696e-21	1.265e-17
RPL38	ENSG00000172809	CD34	17008.6	1.7	4.033e-20	2.116e-17
RPS27L	ENSG00000185088	CD34	3036.8	1.5	6.867e-19	5.247e-16
RPS27L	ENSG00000185088	CD34	3036.8	1.5	6.867e-19	5.247e-16
HBD	ENSG00000223609	CD34	182081.5	4.1	7.636e-19	5.536e-16
PARP4	ENSG00000102699	CD34	2860.1	-1.7	1.057e-18	7.366e-16
BPTF	ENSG00000171634	CD34	7846.7	-1.5	2.397e-18	9.845e-16
REV3L	ENSG00000009413	CD34	2749.3	-1.5	1.588e-18	1.015e-15
NDUFB10	ENSG00000140990	CD34	1664.7	1.2	3.572e-18	2.233e-15
AC007308.1	ENSG00000272600	CD34	83.3	3	4.298e-18	2.359e-15
FKBP15	ENSG00000119321	CD34	2218.8	-0.8	9.524e-18	5.512e-15
PEAK1	ENSG00000173517	CD34	3208.2	-1.8	9.7e-18	5.767e-15
ERFE	ENSG00000178752	CD34	10265.3	4.8	1.115e-17	5.894e-15
ARL5B	ENSG00000165997	CD34	2309	-2.2	1.179e-17	6.028e-15
BDP1	ENSG00000145734	CD34	2765.7	-1.5	1.281e-17	6.459e-15
PET100	ENSG00000229833	CD34	2161.4	2.2	1.364e-17	6.658e-15
GYPA	ENSG00000170180	CD34	36010.9	4	1.976e-17	7.442e-15
TRIM52-AS1	ENSG00000248275	CD34	666	1.7	2.948e-17	1.33e-14
PSAT1	ENSG00000135069	CD34	6723	3.3	5.935e-17	1.602e-14
CLTB	ENSG00000175416	CD34	1108.4	1.8	4.21e-17	1.828e-14
RPLP2	ENSG00000177600	CD34	28419.2	2	7.256e-17	1.852e-14
HMG20A	ENSG00000140382	CD34	1481.1	-1.5	6.032e-17	2.237e-14
KRTCAP2	ENSG00000163463	CD34	1735	1.6	6.349e-17	2.544e-14
AHSP	ENSG00000169877	CD34	52068.9	3.6	1.078e-16	2.785e-14
TRAPPC8	ENSG00000153339	CD34	2976.4	-1.3	9.236e-17	3.455e-14
EMSY	ENSG00000158636	CD34	1522.6	-1.5	1.08e-16	3.944e-14
MED10	ENSG00000133398	CD34	872.4	0.9	1.261e-16	4.496e-14
STUB1	ENSG00000103266	CD34	2556.8	1.5	2.267e-16	7.843e-14
AC005261.4	ENSG00000268713	CD34	97.7	3	3.652e-16	1.294e-13
EIF3G	ENSG00000130811	CD34	4969.1	1.1	4.639e-16	1.679e-13
LTF	ENSG00000012223	CD34	156.2	-6.2	4.979e-16	1.97e-13
KAT6A	ENSG00000083168	CD34	6880.7	-1.8	9.249e-16	2.395e-13
EHBP1	ENSG00000115504	CD34	956.7	-0.9	4.348e-16	2.849e-13
SEC24A	ENSG00000113615	CD34	1668.1	-1.9	1.122e-15	3.469e-13
ARPC4	ENSG00000241553	CD34	5347.4	1.1	1.242e-15	3.721e-13
AC012615.2	ENSG00000267007	CD34	242.1	3.4	1.571e-15	5.935e-13
KRBA2	ENSG00000184619	CD34	56.4	-2.9	1.415e-15	6.534e-13
NDUFA13	ENSG00000186010	CD34	4051.2	1.4	2.45e-15	7.091e-13
AC137630.1	ENSG00000223343	CD34	45	4.6	1.612e-15	7.476e-13
NONOP2	ENSG00000237522	CD34	52.7	-3.9	1.839e-15	8.378e-13
EIF5B	ENSG00000158417	CD34	9673.2	2.4	3.258e-15	8.703e-13
KAT6B	ENSG00000156650	CD34	2618.9	-1.5	3.551e-15	9.566e-13
AC116533.1	ENSG00000244398	CD34	7610.5	1.9	4.737e-15	9.978e-13
KRT8P46	ENSG00000248971	CD34	31.9	-3.8	2.819e-15	1.159e-12
DGCR6	ENSG00000183628	CD34	136.3	2.9	3.646e-15	1.174e-12
NDUFS6	ENSG00000145494	CD34	1537.3	1.6	5.071e-15	1.278e-12
ZNF106	ENSG00000103994	CD34	3262	-1.2	5.627e-15	1.365e-12
RFESD	ENSG00000175449	CD34	5342.3	2.2	5.776e-15	1.374e-12
CSNK2B	ENSG00000204435	CD34	5456.3	1	6.12e-15	1.439e-12
