gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000184117.12_NIPSNAP1	2359.6	-5.4	9.473e-184	2.333e-179
ENSG00000106066.15_CPVL	3961.3	-6.1	1.265e-180	2.057e-176
ENSG00000129187.14_DCTD	1541.6	-5.4	1.181e-155	9.696e-152
ENSG00000118513.19_MYB	9127.4	-6.8	1.837e-148	1.704e-144
ENSG00000181163.13_NPM1	46263.6	-3.4	7.235e-133	5.332e-129
ENSG00000197894.11_ADH5	2295.6	-3.4	1.979e-127	1.002e-123
ENSG00000101546.13_RBFA	697.1	-3.8	9.227e-124	3.795e-120
ENSG00000168758.11_SEMA4C	1285.9	-7.2	1.805e-121	4.291e-118
ENSG00000100321.15_SYNGR1	3775.5	-7.2	8.997e-121	2.400e-117
ENSG00000162430.17_SELENON	1677.1	-6.1	1.049e-116	2.583e-113
ENSG00000175792.12_RUVBL1	2351.7	-3.5	3.443e-116	7.954e-113
ENSG00000186591.13_UBE2H	48927	6	9.436e-116	2.898e-112
ENSG00000106991.13_ENG	7673.4	-6.4	3.903e-112	1.045e-108
ENSG00000136444.10_RSAD1	747.1	-4.6	5.083e-112	1.045e-108
ENSG00000107833.10_NPM3	1521	-5.3	2.080e-109	3.415e-106
ENSG00000011295.16_TTC19	1468.1	-3	4.811e-109	7.642e-106
ENSG00000107372.13_ZFAND5	40206.1	4.3	6.568e-109	1.424e-105
ENSG00000081177.18_EXD2	473.6	-3.6	5.191e-107	7.103e-104
ENSG00000053372.5_MRTO4	1709.5	-3.8	2.771e-106	3.592e-103
ENSG00000164818.16_DNAAF5	1662.9	-4.3	1.448e-105	1.840e-102
ENSG00000198208.12_RPS6KL1	890.8	-6.3	3.434e-104	4.156e-101
ENSG00000132600.16_PRMT7	1039.8	-3.5	6.493e-104	8.496e-101
ENSG00000144118.14_RALB	1375.8	-4.9	7.645e-104	9.569e-101
ENSG00000134824.14_FADS2	20342.8	-4.9	9.424e-104	1.265e-100
ENSG00000130227.17_XPO7	108572.9	5.6	1.226e-103	1.596e-100
ENSG00000116353.16_MECR	611.9	-3.1	2.552e-101	2.417e-98
ENSG00000145743.16_FBXL17	405.4	-3.4	6.513e-101	6.942e-98
ENSG00000115866.11_DARS1	3058.5	-2.9	1.007e-100	8.638e-98
ENSG00000073536.18_NLE1	1079.6	-5.2	3.208e-99	3.184e-96
ENSG00000134352.20_IL6ST	21098.2	5.1	5.754e-97	7.115e-94
ENSG00000188191.15_PRKAR1B	1332.8	-5.8	2.482e-96	2.304e-93
