gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000268292.1_AC006547.3	146.5	-37.2	1.191e-42	1.838e-38
ENSG00000263798.2_AC018521.1	30.3	-21.8	1.544e-24	3.220e-20
ENSG00000267458.1_AC092069.1	82.9	20.9	8.131e-13	4.180e-09
ENSG00000263503.1_MAPK8IP1P2	54.6	16.3	3.194e-09	3.048e-05
ENSG00000170382.12_LRRN2	1069.8	-2	3.026e-08	9.184e-05
ENSG00000197496.6_SLC2A10	153.8	1.4	3.673e-08	9.184e-05
ENSG00000198429.10_ZNF69	174.7	0.7	7.038e-08	1.060e-04
ENSG00000143801.17_PSEN2	138.1	1.5	1.246e-07	1.643e-04
ENSG00000007968.7_E2F2	27212.4	-1.8	2.272e-07	5.173e-04
ENSG00000134376.16_CRB1	107.2	-3.2	4.333e-07	5.632e-04
ENSG00000196422.11_PPP1R26	289.2	1.2	9.089e-07	5.632e-04
ENSG00000104432.14_IL7	126.8	0.9	9.001e-07	1.072e-03
ENSG00000145287.10_PLAC8	673.5	1.9	9.687e-07	1.082e-03
ENSG00000167123.19_CERCAM	223.3	1.8	9.518e-07	1.082e-03
ENSG00000187049.10_TMEM216	266.1	0.9	1.247e-06	1.189e-03
ENSG00000158321.18_AUTS2	319.8	1.6	1.507e-06	1.453e-03
ENSG00000073910.22_FRY	848.1	-2.7	2.126e-06	1.847e-03
ENSG00000184232.9_OAF	401.9	1.6	2.092e-06	1.847e-03
ENSG00000273749.5_CYFIP1	1078	1.3	2.314e-06	1.906e-03
ENSG00000162430.17_SELENON	1677.1	0.9	3.969e-06	2.325e-03
ENSG00000241592.1_AC021074.2	20.8	-2.9	9.031e-07	2.985e-03
ENSG00000102312.22_PORCN	127.8	1.5	4.473e-06	3.136e-03
ENSG00000276231.5_PIK3R6	177	-2.3	5.295e-06	3.551e-03
ENSG00000145743.16_FBXL17	405.4	0.5	1.467e-05	4.312e-03
ENSG00000204366.4_ZBTB12	168	1.4	1.059e-05	5.301e-03
ENSG00000138028.16_CGREF1	189.1	1.5	2.198e-05	5.430e-03
ENSG00000067955.15_CBFB	1078	1.9	5.046e-06	5.431e-03
ENSG00000158122.12_PRXL2C	232.2	0.9	2.930e-05	7.809e-03
ENSG00000106348.18_IMPDH1	829.3	0.9	1.604e-05	7.936e-03
ENSG00000112576.12_CCND3	8293.8	-1.2	7.665e-06	7.936e-03
ENSG00000140199.12_SLC12A6	5959.3	0.9	1.274e-05	7.936e-03
ENSG00000271270.7_TMCC1-AS1	181.2	0.8	1.698e-05	7.936e-03
ENSG00000285486.1_AC003043.3	210	-2.2	3.460e-05	7.936e-03
ENSG00000168421.13_RHOH	1291	1.3	1.584e-05	9.545e-03
ENSG00000083454.22_P2RX5	383.6	2.6	1.910e-05	9.936e-03
