gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000215910.7_C1orf167	53.4	-21.5	3.857e-31	7.668e-26
ENSG00000267458.1_AC092069.1	82.9	22.2	2.228e-14	2.215e-09
ENSG00000104432.14_IL7	126.8	-1.3	1.418e-10	3.135e-06
ENSG00000106348.18_IMPDH1	829.3	-1.2	2.792e-09	5.988e-06
ENSG00000116005.12_PCYOX1	534.9	-1.3	3.187e-09	5.988e-06
ENSG00000162430.17_SELENON	1677.1	-1.2	3.388e-09	5.988e-06
ENSG00000196422.11_PPP1R26	289.2	-1.6	2.793e-09	5.988e-06
ENSG00000101546.13_RBFA	697.1	-0.8	5.391e-09	8.334e-06
ENSG00000198429.10_ZNF69	174.7	-0.9	2.411e-09	9.823e-06
ENSG00000129187.14_DCTD	1541.6	-0.8	2.306e-08	1.873e-05
ENSG00000136444.10_RSAD1	747.1	-0.8	2.641e-08	1.873e-05
ENSG00000158122.12_PRXL2C	232.2	-1.3	1.729e-08	1.873e-05
ENSG00000155254.13_MARVELD1	669.3	-1.2	2.437e-08	2.318e-05
ENSG00000112365.4_ZBTB24	499.3	-1	4.713e-08	2.797e-05
ENSG00000015475.18_BID	960.6	-0.9	6.061e-08	2.955e-05
ENSG00000122376.11_SHLD2	1060.6	-1.2	3.824e-08	2.955e-05
ENSG00000143801.17_PSEN2	138.1	-1.8	4.207e-08	3.204e-05
ENSG00000271270.7_TMCC1-AS1	181.2	-1.1	2.959e-08	6.027e-05
ENSG00000197496.6_SLC2A10	153.8	-1.5	1.884e-08	6.575e-05
ENSG00000273749.5_CYFIP1	1078	-1.4	2.102e-07	9.778e-05
ENSG00000242193.11_CRYZL2P	70.5	-1.7	1.086e-08	1.180e-04
ENSG00000152620.13_NADK2	2438	-0.7	2.073e-07	1.460e-04
ENSG00000145743.16_FBXL17	405.4	-0.6	3.263e-07	1.722e-04
ENSG00000153179.13_RASSF3	468.2	-1.6	3.341e-07	1.722e-04
ENSG00000184232.9_OAF	401.9	-1.7	3.619e-07	1.790e-04
ENSG00000198331.10_HYLS1	629.5	1.1	5.153e-07	1.844e-04
ENSG00000076248.10_UNG	2106.5	-1.5	4.666e-07	2.137e-04
ENSG00000139117.14_CPNE8	243.8	-1.6	4.902e-07	2.166e-04
ENSG00000101844.18_ATG4A	3354.8	0.8	5.345e-07	2.731e-04
ENSG00000196700.9_ZNF512B	821.8	-1.2	6.786e-07	2.731e-04
ENSG00000197930.13_ERO1A	984.9	-1.2	6.846e-07	2.731e-04
ENSG00000121104.8_FAM117A	25889.8	1	7.292e-07	2.818e-04
ENSG00000181163.13_NPM1	46263.6	-0.7	7.322e-07	2.926e-04
ENSG00000065320.9_NTN1	196.9	-1.4	9.552e-07	3.193e-04
ENSG00000086189.10_DIMT1	1522.2	-0.7	9.216e-07	3.193e-04
ENSG00000124019.10_FAM124B	444.1	-1	9.083e-07	3.193e-04
ENSG00000185252.19_ZNF74	355.4	-1.2	9.352e-07	3.193e-04
ENSG00000124766.7_SOX4	2656.9	-1.7	1.083e-06	3.525e-04
