gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000164543.7_STK17A	14408.7	5.8	3.391e-266	1.553e-261
ENSG00000068323.17_TFE3	6270	5.8	2.833e-244	7.463e-240
ENSG00000107372.13_ZFAND5	40206.1	6	2.772e-204	4.232e-200
ENSG00000145901.15_TNIP1	14949.6	5.3	2.197e-198	2.402e-194
ENSG00000142186.17_SCYL1	4841.1	3.2	2.893e-196	1.983e-192
ENSG00000165006.14_UBAP1	27194.3	6.3	7.815e-189	7.590e-185
ENSG00000022840.16_RNF10	82007.6	6.1	5.040e-188	3.149e-184
ENSG00000186591.13_UBE2H	48927	7.5	2.761e-179	2.011e-175
ENSG00000141452.10_RMC1	3082.5	4.1	2.201e-176	1.373e-172
ENSG00000181788.4_SIAH2	47283.3	6.1	3.515e-176	1.610e-172
ENSG00000101782.15_RIOK3	68864.3	6.6	2.672e-173	1.573e-169
ENSG00000024048.10_UBR2	16946.5	5.6	3.912e-172	2.111e-168
ENSG00000159346.13_ADIPOR1	48187.6	5.5	1.086e-168	3.654e-165
ENSG00000115649.16_CNPPD1	45611.1	6.6	1.001e-166	3.127e-163
ENSG00000158850.15_B4GALT3	14063.2	6.1	5.096e-164	1.556e-160
ENSG00000100100.13_PIK3IP1	3651.4	8.7	1.243e-160	2.662e-157
ENSG00000146278.11_PNRC1	12202.4	7.1	1.322e-157	3.366e-154
ENSG00000198736.11_MSRB1	1864.5	6	1.073e-157	3.366e-154
ENSG00000180573.9_H2AC6	2068.5	7.5	1.559e-152	3.758e-149
ENSG00000198876.13_DCAF12	96060.9	6.7	2.665e-151	8.628e-148
ENSG00000126775.9_ATG14	20331.3	6.5	1.893e-150	5.836e-147
ENSG00000154114.12_TBCEL	27328.6	7.9	3.531e-150	7.019e-147
ENSG00000073792.15_IGF2BP2	15100.6	4.4	8.320e-149	1.582e-145
ENSG00000143162.9_CREG1	34800.8	6	8.861e-149	1.691e-145
ENSG00000123595.8_RAB9A	1438.3	4.4	3.317e-147	4.998e-144
ENSG00000144567.11_RETREG2	26013.4	5.4	2.917e-147	4.998e-144
ENSG00000181220.17_ZNF746	9277.4	5.9	2.562e-147	4.998e-144
ENSG00000140941.14_MAP1LC3B	17785.1	4.5	1.104e-146	2.297e-143
ENSG00000176903.5_PNMA1	5397.6	5.6	1.065e-145	1.606e-142
