gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000106066.15_CPVL	3961.3	-5.6	4.732e-155	1.280e-150
ENSG00000184117.12_NIPSNAP1	2359.6	-4.7	2.761e-142	3.004e-138
ENSG00000118513.19_MYB	9127.4	-6	8.496e-115	8.689e-111
ENSG00000129187.14_DCTD	1541.6	-4.6	1.291e-111	6.814e-108
ENSG00000100321.15_SYNGR1	3775.5	-6.7	3.251e-107	1.985e-103
ENSG00000170445.15_HARS1	3179.5	-1.8	2.806e-106	1.358e-102
ENSG00000197894.11_ADH5	2295.6	-3	3.996e-103	1.454e-99
ENSG00000198208.12_RPS6KL1	890.8	-6.2	1.991e-101	6.044e-98
ENSG00000175792.12_RUVBL1	2351.7	-3.2	3.698e-98	9.166e-95
ENSG00000186591.13_UBE2H	48927	5.4	5.096e-95	1.564e-91
ENSG00000134824.14_FADS2	20342.8	-4.6	1.267e-94	3.516e-91
ENSG00000130227.17_XPO7	108572.9	5.3	4.608e-94	1.172e-90
ENSG00000168758.11_SEMA4C	1285.9	-6.3	2.037e-93	3.307e-90
ENSG00000164818.16_DNAAF5	1662.9	-4	1.438e-92	2.168e-89
ENSG00000132600.16_PRMT7	1039.8	-3.3	7.870e-91	1.053e-87
ENSG00000106991.13_ENG	7673.4	-5.7	2.029e-88	3.872e-85
ENSG00000181163.13_NPM1	46263.6	-2.7	1.710e-85	3.070e-82
ENSG00000107372.13_ZFAND5	40206.1	3.8	4.164e-84	7.098e-81
ENSG00000116353.16_MECR	611.9	-2.8	1.271e-82	1.340e-79
ENSG00000188191.15_PRKAR1B	1332.8	-5.3	1.864e-82	1.977e-79
ENSG00000167895.15_TMC8	2866.2	-4.4	2.178e-81	2.277e-78
ENSG00000154822.18_PLCL2	7991.4	6.9	2.659e-81	3.498e-78
ENSG00000107833.10_NPM3	1521	-4.6	1.312e-80	1.307e-77
ENSG00000154114.12_TBCEL	27328.6	5.7	1.110e-80	1.338e-77
ENSG00000101782.15_RIOK3	68864.3	4.4	3.429e-79	3.980e-76
ENSG00000024048.10_UBR2	16946.5	3.8	9.819e-79	1.159e-75
ENSG00000163864.17_NMNAT3	2115.9	-3.4	1.489e-78	1.201e-75
ENSG00000101546.13_RBFA	697.1	-3	1.034e-77	8.969e-75
ENSG00000162430.17_SELENON	1677.1	-4.9	7.900e-77	5.749e-74
ENSG00000068323.17_TFE3	6270	3.2	1.678e-76	1.619e-73
ENSG00000081177.18_EXD2	473.6	-3	2.542e-76	1.785e-73
ENSG00000118496.5_FBXO30	33355.4	5.3	2.705e-76	2.453e-73
ENSG00000074582.14_BCS1L	867.7	-3.3	2.585e-75	1.671e-72
ENSG00000136444.10_RSAD1	747.1	-3.8	3.065e-75	2.370e-72
