gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000268292.1_AC006547.3	146.5	-39.3	1.550e-47	3.588e-43
ENSG00000215910.7_C1orf167	53.4	21.5	5.024e-31	8.406e-27
ENSG00000198429.10_ZNF69	174.7	1.6	1.639e-29	1.265e-25
ENSG00000104432.14_IL7	126.8	2.3	6.246e-29	3.368e-25
ENSG00000197496.6_SLC2A10	153.8	2.9	7.648e-28	3.088e-24
ENSG00000263798.2_AC018521.1	30.3	-23	2.468e-27	2.043e-23
ENSG00000196422.11_PPP1R26	289.2	2.9	1.189e-26	2.474e-23
ENSG00000162430.17_SELENON	1677.1	2.1	7.413e-26	1.786e-22
ENSG00000143801.17_PSEN2	138.1	3.3	2.281e-25	4.077e-22
ENSG00000106348.18_IMPDH1	829.3	2.1	1.563e-24	1.889e-21
ENSG00000116005.12_PCYOX1	534.9	2.1	3.434e-23	4.138e-20
ENSG00000273749.5_CYFIP1	1078	2.7	4.546e-23	5.021e-20
ENSG00000170382.12_LRRN2	1069.8	-3.5	5.964e-23	6.683e-20
ENSG00000184232.9_OAF	401.9	3.3	1.180e-22	1.228e-19
ENSG00000271270.7_TMCC1-AS1	181.2	1.9	1.593e-22	2.459e-19
ENSG00000158122.12_PRXL2C	232.2	2.2	3.434e-22	4.333e-19
ENSG00000155254.13_MARVELD1	669.3	2.1	6.133e-22	4.782e-19
ENSG00000152620.13_NADK2	2438	1.4	2.046e-21	2.233e-18
ENSG00000145743.16_FBXL17	405.4	1.1	4.179e-21	2.658e-18
ENSG00000129187.14_DCTD	1541.6	1.4	1.288e-20	9.195e-18
ENSG00000007968.7_E2F2	27212.4	-3.2	3.116e-20	2.119e-17
ENSG00000101844.18_ATG4A	3354.8	-1.5	7.560e-20	5.006e-17
ENSG00000121104.8_FAM117A	25889.8	-1.8	1.294e-19	8.196e-17
ENSG00000134376.16_CRB1	107.2	-5.5	1.977e-19	1.356e-16
ENSG00000129355.7_CDKN2D	3901.3	-3.1	3.921e-19	2.055e-16
