gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000136231.14_IGF2BP3	1123.2	-7.3	1.047e-68	1.928e-64
ENSG00000159217.10_IGF2BP1	1402.6	-9.4	1.22e-44	1.084e-40
ENSG00000137965.11_IFI44	134.7	3.9	5.577e-25	2.722e-21
ENSG00000100985.7_MMP9	115.6	-21	1.015e-24	3.629e-21
ENSG00000187772.8_LIN28B	223.3	-8.4	3.943e-23	8.014e-20
ENSG00000241990.5_PRR34-AS1	140.1	6.2	3.913e-23	8.014e-20
ENSG00000139116.18_KIF21A	500.3	3.4	1.386e-21	2.832e-18
ENSG00000171509.16_RXFP1	34.2	5.6	8.405e-21	1.281e-17
ENSG00000203797.10_DDO	41.5	6.4	4.068e-20	5.512e-17
ENSG00000250722.6_SELENOP	470.1	4.2	6.957e-18	1.019e-14
ENSG00000066735.14_KIF26A	2848.2	5.6	7.64e-17	1.821e-13
ENSG00000182578.13_CSF1R	77.3	-8.1	1.521e-14	1.409e-11
ENSG00000125810.10_CD93	184.4	-5.1	4.44e-14	4.885e-11
ENSG00000160593.19_JAML	206.4	-6.1	4.482e-13	4.578e-10
ENSG00000058091.17_CDK14	156	3.1	8.878e-13	6.578e-10
ENSG00000214548.18_MEG3	257.2	-5.7	8.13e-13	7.44e-10
ENSG00000116017.11_ARID3A	5641.6	-1.7	1.315e-12	1.271e-9
ENSG00000168477.19_TNXB	7169.5	3.5	1.705e-12	1.744e-9
ENSG00000038427.16_VCAN	78.7	-6.1	1.255e-11	9.669e-9
ENSG00000127951.7_FGL2	58.1	-5.2	2.11e-11	1.173e-8
ENSG00000182247.10_UBE2E2	90.5	-2.7	2.556e-11	1.353e-8
ENSG00000168461.13_RAB31	231.4	-2	4.255e-11	2.766e-8
ENSG00000149948.13_HMGA2	843.8	-2.6	4.701e-11	3.55e-8
ENSG00000142512.15_SIGLEC10	303.1	-2.2	1.146e-10	6.253e-8
ENSG00000167972.14_ABCA3	113.9	2.4	1.14e-10	6.253e-8
ENSG00000187116.14_LILRA5	30	-5.7	1.12e-10	6.253e-8
ENSG00000260314.3_MRC1	82	-6.1	1.17e-10	6.253e-8
ENSG00000134256.12_CD101	12.2	-6.8	1.257e-10	1.398e-7
ENSG00000172296.13_SPTLC3	29.9	5.2	3.146e-10	1.551e-7
ENSG00000108798.9_ABI3	128.1	-4.9	3.307e-10	1.591e-7
ENSG00000004809.14_SLC22A16	1058.3	2.8	3.031e-10	1.698e-7
