gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000136231.14_IGF2BP3	1123.2	-10.6	1.858e-56	2.565e-52
ENSG00000213058.3_AL365357.1	1186.9	10.3	3.042e-39	1.72e-35
ENSG00000159217.10_IGF2BP1	1402.6	-8.7	1.517e-34	6.982e-31
ENSG00000111846.17_GCNT2	2393.4	3.7	9.607e-30	6.408e-26
ENSG00000241990.5_PRR34-AS1	140.1	5.2	1.331e-24	4.282e-21
ENSG00000124006.15_OBSL1	614.6	-4.2	2.061e-23	4.013e-20
ENSG00000135919.13_SERPINE2	1425.2	4	6.251e-23	8.84e-20
ENSG00000090661.12_CERS4	208.8	-4.9	1.993e-21	4.548e-18
ENSG00000116017.11_ARID3A	5641.6	-2.3	7.367e-21	2.198e-17
ENSG00000100181.22_TPTEP1	388.8	-2.8	3.35e-20	4.625e-17
ENSG00000137965.11_IFI44	134.7	3.7	2.905e-19	4.248e-16
ENSG00000182247.10_UBE2E2	90.5	-5	1.925e-18	2.58e-15
ENSG00000135862.6_LAMC1	628	-3.7	6.876e-18	5.235e-15
ENSG00000226084.5_AC113935.1	956.2	2.3	7.583e-18	7.477e-15
ENSG00000282246.1_AL157392.5	13.3	38.2	4.238e-18	1.164e-14
ENSG00000139116.18_KIF21A	500.3	3	2.53e-17	2.055e-14
ENSG00000099864.18_PALM	210.4	-3.9	5.397e-17	4.499e-14
ENSG00000115109.14_EPB41L5	104.8	-2.6	5.444e-17	4.499e-14
ENSG00000130700.7_GATA5	359.4	-3.6	8.073e-16	5.522e-13
ENSG00000058091.17_CDK14	156	3.8	7.17e-16	5.526e-13
ENSG00000215695.1_RSC1A1	465.7	-23.5	1.212e-15	5.714e-13
ENSG00000171316.12_CHD7	703.6	-3.7	1.071e-15	6.329e-13
ENSG00000107186.16_MPDZ	249.8	-2.9	2.687e-15	1.767e-12
ENSG00000169855.20_ROBO1	471.3	-2.4	5.76e-15	2.405e-12
ENSG00000203797.10_DDO	41.5	5.7	4.696e-15	2.794e-12
ENSG00000187772.8_LIN28B	223.3	-9.4	1.26e-14	7.47e-12
ENSG00000069974.16_RAB27A	645.6	2	2.671e-14	1.119e-11
ENSG00000214357.9_NEURL1B	617.1	4.6	6.426e-14	2.681e-11
ENSG00000250722.6_SELENOP	470.1	4	1.038e-13	3.542e-11
ENSG00000268292.1_AC006547.3	148.6	-30.5	1.381e-13	6.964e-11
ENSG00000131773.14_KHDRBS3	135.9	-4.1	1.956e-13	1.097e-10
ENSG00000283633.1_AP000547.3	486.5	-2.2	3.547e-13	1.097e-10
ENSG00000152413.15_HOMER1	88.6	-4.6	2.257e-13	1.196e-10
ENSG00000198113.3_TOR4A	305.7	-2.4	3.275e-13	1.684e-10
ENSG00000214548.18_MEG3	257.2	-7.6	7.559e-13	3.775e-10
ENSG00000179241.13_LDLRAD3	464.9	-2.5	1.447e-12	5.549e-10
ENSG00000169241.19_SLC50A1	1396	1.6	1.935e-12	5.913e-10
ENSG00000250182.3_EEF1A1P13	474.4	1.5	1.658e-12	6.022e-10
ENSG00000162520.15_SYNC	103.5	-15.2	2.647e-12	1.01e-9
ENSG00000175866.15_BAIAP2	193.6	-2	4.911e-12	1.857e-9
ENSG00000080200.10_CRYBG3	45.7	-4	5.393e-12	2.41e-9
ENSG00000081026.19_MAGI3	232.3	-2.4	9.433e-12	3.397e-9
ENSG00000143382.15_ADAMTSL4	434.5	-3.3	1.158e-11	3.421e-9
ENSG00000198300.14_PEG3	67.3	-2.6	9.903e-12	3.421e-9
ENSG00000141744.4_PNMT	198.4	-2.8	2.209e-11	7.425e-9
ENSG00000140986.8_RPL3L	44.8	4.8	2.459e-11	7.951e-9
ENSG00000231711.2_LINC00899	34.2	5.3	2.686e-11	1.047e-8
ENSG00000034053.14_APBA2	246.5	-2.2	3.569e-11	1.3e-8
