gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000261641.2_AL031600.3	243.2	27.2	5.553e-31	1.209e-26
ENSG00000068796.17_KIF2A	1912.6	-1.7	1.921e-26	1.501e-22
ENSG00000162924.14_REL	2062.6	-3.5	1.764e-24	9.203e-21
ENSG00000110344.9_UBE4A	3462.5	-1.6	1.005e-23	3.852e-20
ENSG00000070182.21_SPTB	67385.3	3.6	1.973e-23	4.079e-20
ENSG00000255073.8_ZFP91-CNTF	321.8	-23.4	1.852e-23	5.006e-20
ENSG00000254373.1_AC112191.2	294.1	4.9	2.012e-23	5.303e-20
ENSG00000186395.8_KRT10	470.7	1.8	9.980e-23	1.956e-19
ENSG00000183172.9_SMDT1	1126.8	1.4	1.675e-22	2.876e-19
ENSG00000123144.11_TRIR	4458.6	1.7	2.531e-22	3.503e-19
ENSG00000160551.11_TAOK1	3447.7	-2	2.404e-22	3.503e-19
ENSG00000133961.20_NUMB	2025.3	-1.1	4.012e-21	4.733e-18
ENSG00000133961.20_NUMB	2025.3	-1.1	4.012e-21	4.733e-18
ENSG00000125633.11_CCDC93	796	-1.6	6.770e-21	6.101e-18
ENSG00000258199.1_AC073896.4	188.7	3.5	4.713e-21	6.101e-18
ENSG00000143970.17_ASXL2	4556.5	-2.2	1.326e-20	1.262e-17
ENSG00000267469.1_AC005944.1	923.7	2.2	6.696e-21	1.265e-17
ENSG00000172809.13_RPL38	17008.6	1.7	4.033e-20	2.116e-17
ENSG00000185088.14_RPS27L	3036.8	1.5	6.867e-19	5.247e-16
ENSG00000185088.14_RPS27L	3036.8	1.5	6.867e-19	5.247e-16
ENSG00000223609.11_HBD	182081.5	4.1	7.636e-19	5.536e-16
ENSG00000102699.6_PARP4	2860.1	-1.7	1.057e-18	7.366e-16
ENSG00000171634.18_BPTF	7846.7	-1.5	2.397e-18	9.845e-16
ENSG00000009413.16_REV3L	2749.3	-1.5	1.588e-18	1.015e-15
ENSG00000140990.15_NDUFB10	1664.7	1.2	3.572e-18	2.233e-15
ENSG00000272600.1_AC007308.1	83.3	3	4.298e-18	2.359e-15
ENSG00000119321.9_FKBP15	2218.8	-0.8	9.524e-18	5.512e-15
ENSG00000173517.10_PEAK1	3208.2	-1.8	9.700e-18	5.767e-15
ENSG00000178752.16_ERFE	10265.3	4.8	1.115e-17	5.894e-15
ENSG00000165997.5_ARL5B	2309	-2.2	1.179e-17	6.028e-15
ENSG00000145734.19_BDP1	2765.7	-1.5	1.281e-17	6.459e-15
ENSG00000229833.10_PET100	2161.4	2.2	1.364e-17	6.658e-15
ENSG00000170180.22_GYPA	36010.9	4	1.976e-17	7.442e-15
ENSG00000248275.2_TRIM52-AS1	666	1.7	2.948e-17	1.330e-14
ENSG00000135069.14_PSAT1	6723	3.3	5.935e-17	1.602e-14
ENSG00000175416.14_CLTB	1108.4	1.8	4.210e-17	1.828e-14
ENSG00000177600.9_RPLP2	28419.2	2	7.256e-17	1.852e-14
ENSG00000140382.15_HMG20A	1481.1	-1.5	6.032e-17	2.237e-14
ENSG00000163463.11_KRTCAP2	1735	1.6	6.349e-17	2.544e-14
ENSG00000169877.10_AHSP	52068.9	3.6	1.078e-16	2.785e-14
ENSG00000153339.14_TRAPPC8	2976.4	-1.3	9.236e-17	3.455e-14
ENSG00000158636.16_EMSY	1522.6	-1.5	1.080e-16	3.944e-14
ENSG00000133398.4_MED10	872.4	0.9	1.261e-16	4.496e-14
ENSG00000103266.11_STUB1	2556.8	1.5	2.267e-16	7.843e-14
ENSG00000268713.1_AC005261.4	97.7	3	3.652e-16	1.294e-13
ENSG00000130811.12_EIF3G	4969.1	1.1	4.639e-16	1.679e-13
ENSG00000012223.13_LTF	156.2	-6.2	4.979e-16	1.970e-13
ENSG00000083168.11_KAT6A	6880.7	-1.8	9.249e-16	2.395e-13
ENSG00000115504.14_EHBP1	956.7	-0.9	4.348e-16	2.849e-13
ENSG00000113615.13_SEC24A	1668.1	-1.9	1.122e-15	3.469e-13
ENSG00000241553.12_ARPC4	5347.4	1.1	1.242e-15	3.721e-13
ENSG00000267007.1_AC012615.2	242.1	3.4	1.571e-15	5.935e-13
ENSG00000184619.6_KRBA2	56.4	-2.9	1.415e-15	6.534e-13
