gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000136231.14_IGF2BP3	1123.2	-10.6	1.858e-56	2.565e-52
ENSG00000213058.3_AL365357.1	1186.9	10.3	3.042e-39	1.720e-35
ENSG00000159217.10_IGF2BP1	1402.6	-8.7	1.517e-34	6.982e-31
ENSG00000111846.17_GCNT2	2393.4	3.7	9.607e-30	6.408e-26
ENSG00000241990.5_PRR34-AS1	140.1	5.2	1.331e-24	4.282e-21
ENSG00000124006.15_OBSL1	614.6	-4.2	2.061e-23	4.013e-20
ENSG00000135919.13_SERPINE2	1425.2	4	6.251e-23	8.840e-20
ENSG00000090661.12_CERS4	208.8	-4.9	1.993e-21	4.548e-18
ENSG00000116017.11_ARID3A	5641.6	-2.3	7.367e-21	2.198e-17
ENSG00000100181.22_TPTEP1	388.8	-2.8	3.350e-20	4.625e-17
ENSG00000137965.11_IFI44	134.7	3.7	2.905e-19	4.248e-16
ENSG00000182247.10_UBE2E2	90.5	-5	1.925e-18	2.580e-15
ENSG00000135862.6_LAMC1	628	-3.7	6.876e-18	5.235e-15
ENSG00000226084.5_AC113935.1	956.2	2.3	7.583e-18	7.477e-15
ENSG00000282246.1_AL157392.5	13.3	38.2	4.238e-18	1.164e-14
ENSG00000139116.18_KIF21A	500.3	3	2.530e-17	2.055e-14
ENSG00000099864.18_PALM	210.4	-3.9	5.397e-17	4.499e-14
ENSG00000115109.14_EPB41L5	104.8	-2.6	5.444e-17	4.499e-14
ENSG00000130700.7_GATA5	359.4	-3.6	8.073e-16	5.522e-13
ENSG00000058091.17_CDK14	156	3.8	7.170e-16	5.526e-13
ENSG00000215695.1_RSC1A1	465.7	-23.5	1.212e-15	5.714e-13
ENSG00000171316.12_CHD7	703.6	-3.7	1.071e-15	6.329e-13
ENSG00000107186.16_MPDZ	249.8	-2.9	2.687e-15	1.767e-12
ENSG00000169855.20_ROBO1	471.3	-2.4	5.760e-15	2.405e-12
ENSG00000203797.10_DDO	41.5	5.7	4.696e-15	2.794e-12
ENSG00000187772.8_LIN28B	223.3	-9.4	1.260e-14	7.470e-12
ENSG00000069974.16_RAB27A	645.6	2	2.671e-14	1.119e-11
ENSG00000214357.9_NEURL1B	617.1	4.6	6.426e-14	2.681e-11
ENSG00000250722.6_SELENOP	470.1	4	1.038e-13	3.542e-11
ENSG00000268292.1_AC006547.3	148.6	-30.5	1.381e-13	6.964e-11
ENSG00000131773.14_KHDRBS3	135.9	-4.1	1.956e-13	1.097e-10
ENSG00000283633.1_AP000547.3	486.5	-2.2	3.547e-13	1.097e-10
ENSG00000152413.15_HOMER1	88.6	-4.6	2.257e-13	1.196e-10
ENSG00000198113.3_TOR4A	305.7	-2.4	3.275e-13	1.684e-10
ENSG00000214548.18_MEG3	257.2	-7.6	7.559e-13	3.775e-10
ENSG00000179241.13_LDLRAD3	464.9	-2.5	1.447e-12	5.549e-10
ENSG00000169241.19_SLC50A1	1396	1.6	1.935e-12	5.913e-10
ENSG00000250182.3_EEF1A1P13	474.4	1.5	1.658e-12	6.022e-10
ENSG00000162520.15_SYNC	103.5	-15.2	2.647e-12	1.010e-09
ENSG00000175866.15_BAIAP2	193.6	-2	4.911e-12	1.857e-09
ENSG00000080200.10_CRYBG3	45.7	-4	5.393e-12	2.410e-09
ENSG00000081026.19_MAGI3	232.3	-2.4	9.433e-12	3.397e-09
ENSG00000143382.15_ADAMTSL4	434.5	-3.3	1.158e-11	3.421e-09
ENSG00000198300.14_PEG3	67.3	-2.6	9.903e-12	3.421e-09
ENSG00000141744.4_PNMT	198.4	-2.8	2.209e-11	7.425e-09
ENSG00000140986.8_RPL3L	44.8	4.8	2.459e-11	7.951e-09
ENSG00000231711.2_LINC00899	34.2	5.3	2.686e-11	1.047e-08
ENSG00000034053.14_APBA2	246.5	-2.2	3.569e-11	1.300e-08
ENSG00000068654.16_POLR1A	3025.4	-1	4.337e-11	1.377e-08
ENSG00000124570.20_SERPINB6	2231.4	-1.9	2.841e-11	1.521e-08
ENSG00000130656.6_HBZ	488	-4.4	7.769e-11	1.521e-08
ENSG00000164687.11_FABP5	848.8	-3	5.514e-11	1.521e-08
ENSG00000151276.23_MAGI1	44.1	-4.8	1.111e-10	3.118e-08
ENSG00000157500.12_APPL1	714.3	-2.1	1.826e-10	3.824e-08
ENSG00000181444.13_ZNF467	72	-6	1.609e-10	4.353e-08
ENSG00000168067.12_MAP4K2	1009.7	-1.4	2.751e-10	6.385e-08
ENSG00000253445.1_AC027309.1	26.1	4.9	9.455e-11	7.294e-08
ENSG00000074416.14_MGLL	666.6	2.2	3.747e-10	7.306e-08
ENSG00000180543.5_TSPYL5	223.9	-2.1	3.047e-10	9.025e-08
ENSG00000176014.13_TUBB6	5794.1	-1.1	3.947e-10	9.774e-08
ENSG00000111696.12_NT5DC3	201.6	-2.3	4.723e-10	1.137e-07
ENSG00000122965.11_RBM19	1754.6	-0.8	3.644e-10	1.137e-07
ENSG00000219451.3_RPL23P8	67.6	2.2	5.089e-10	1.299e-07
ENSG00000019485.13_PRDM11	1005.4	-2.1	6.311e-10	1.361e-07
ENSG00000232176.1_AL161909.1	74.5	2	6.056e-10	1.386e-07
ENSG00000196482.18_ESRRG	24	-6.3	2.302e-10	1.534e-07
ENSG00000136149.6_RPL13AP25	68.5	2	6.834e-10	1.869e-07
ENSG00000225093.1_RPL3P7	61.9	1.9	1.003e-09	2.231e-07
ENSG00000104341.17_LAPTM4B	2765.9	-1.9	8.234e-10	3.184e-07
ENSG00000118990.5_GLRXP3	13.2	8	3.226e-10	3.218e-07
ENSG00000234127.9_TRIM26	523.5	-1.1	1.918e-09	3.510e-07
ENSG00000259612.1_EEF1A1P22	59.9	1.6	1.612e-09	3.913e-07
ENSG00000069998.12_HDHD5	518.4	-2	3.162e-09	4.288e-07
ENSG00000115825.10_PRKD3	668.6	-1.9	2.544e-09	4.746e-07
ENSG00000256338.2_RPL41P2	639.3	2.5	3.093e-09	4.818e-07
ENSG00000100027.16_YPEL1	136	1.8	2.450e-09	4.875e-07
ENSG00000196565.15_HBG2	2476778.7	-3.2	1.684e-09	5.871e-07
ENSG00000162817.7_C1orf115	25.1	5	1.077e-09	6.057e-07
ENSG00000244052.1_RPL5P24	23.2	2.1	1.410e-09	6.741e-07
